帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:01:31,您好
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:01:37,貼圖已傳送
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:02:57,"不好意思🙏
我有預定10/09-10/10的住宿
但因為今天看診 小朋友肺炎住院
必須要打14天的抗生素
我想請問我在Agoda的住宿能更改日期或取消重新預訂嗎？"
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:03:07,我有在Agoda提出申請
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:03:32,再麻煩您評估了🙏🙏🙏
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:04:12,因為小朋友10/10當天要在車城國中比賽桌球🎱
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:05:01,所以我們10/10一早出院要衝下去🥹
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:05:17,"所以住不了10/09
要改住10/10"
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/27,22:05:29,貼圖已傳送
Account,龜地灣櫃檯,2025/09/28,11:19:04,麻煩提供訂單編號
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,17:35:12,照片已傳送
Account,自動回應訊息,2025/09/28,17:48:17,"🏠Wen🐑👦🐶👧🍬👶感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/28,17:48:17,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/28,17:48:17,貼圖已傳送
Account,自動回應訊息,2025/09/28,17:48:17,"🏠Wen🐑👦🐶👧🍬👶您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:06:18,晚安🙋🏼
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:06:31,被取消的事宜 我有聯繫Agoda了
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:06:44,再麻煩您 看是否能通融改期ㄧ事
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:06:48,謝謝😊
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:11:43,照片已傳送
User,🏠Wen🐑👦🐶👧🍬👶,2025/09/28,22:11:51,再麻煩您了🙏🙏🙏
Account,Lyken,2025/09/30,23:36:30,已有告知agoda當天以已無同房型可提供更換，請AGODA查詢需可更換日期及當日更新價錢，進行不收取額外費用或罰金的情況下更進行修改。
Account,Lyken,2025/09/30,23:36:53,9/28就回覆了喔
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:09:00,"有的
謝謝您🙏"
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:09:11,本來想要申請延期
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:09:21,但現在小孩轉加護病房了
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:09:29,沒辦法南下屏東比賽了
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:09:43,"請問我的訂房能轉讓嗎？
我自己找人"
Account,Lyken,2025/10/01,00:10:40,稍後我幫您確認一下訂單
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:10:48,謝謝🙏
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:11:11,"抱歉😢
小朋友病情惡化
轉加護病房
不知道要幾天才能轉出"
Account,Lyken,2025/10/01,00:13:36,0911104586這是您的聯絡電話是嗎？
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/01,00:13:44,對
Account,Lyken,2025/10/01,00:14:13,沒關係先處理小孩的事情，我們幫你們保留費用
Account,Lyken,2025/10/01,00:14:32,等小孩比較好再跟我們確定要入住的時間
Account,Lyken,2025/10/01,00:15:40,訂單編號1653903926
Account,Lyken,2025/10/01,00:15:47,屆時再告知我們就好了
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/03,01:14:24,"謝謝您的貼心❤️
讓我們備受感動
小孩禮拜二插管後
今天第一次睜眼看人
希望情況會越來越好💪"
User,🏠Wen🐑👦🐶👧🍬👶,2025/10/03,01:16:02,"另外🙋🏼
想請問住宿大概能夠保留多久呢？
因為我們住台北
這次南下主要是要去比桌球比賽
而且我們夫妻都是臨床護理師，工作時間比較不彈性
所以平常下南台灣的機率比較低一些
所以想跟您請教 大概能夠保留多久的時間
謝謝🙏"
