帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/09/30,11:49:59,"Nu Nue感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/30,11:49:59,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/30,11:49:59,貼圖已傳送
Account,自動回應訊息,2025/09/30,11:49:59,"Nu Nue您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Nu Nue,2025/09/30,11:50:29,你好，我剛剛有打電話給你
User,Nu Nue,2025/09/30,11:50:43,我們公司要去工作，要10/7入住，到10/13
User,Nu Nue,2025/09/30,11:50:52,10/13退房
User,Nu Nue,2025/09/30,11:51:14,需要1間四人房，2間雙人房(都是1人入住)
Account,Lyken,2025/09/30,11:51:17,麻煩提供單位名片
User,Nu Nue,2025/09/30,11:51:34,我提供我的名片給你
User,Nu Nue,2025/09/30,11:51:37,照片已傳送
User,Nu Nue,2025/09/30,11:51:55,我們是要去海口漁港做政府工程的案子
Account,Lyken,2025/09/30,11:52:41,你們有佔到２個連假
User,Nu Nue,2025/09/30,11:52:49,想詢問是否有空房，另外價位方面是否有比較便宜
User,Nu Nue,2025/09/30,11:53:02,連假的部份我們知道價格一定會比較高
Account,Lyken,2025/09/30,11:54:04,四人房是入住四人嗎？
User,Nu Nue,2025/09/30,11:54:09,是的
User,Nu Nue,2025/09/30,12:02:22,這樣有房間嗎
Account,Lyken,2025/09/30,12:02:46,連假都剩下價錢比較高的雙人房喔
User,Nu Nue,2025/09/30,12:02:58,價位是
User,Nu Nue,2025/09/30,12:03:43,因為我現在幫工程師跟工作人員找房間，還得詢問主管是否可行
Account,Lyken,2025/09/30,12:04:19,我先拉沒有優惠的價錢給你看
User,Nu Nue,2025/09/30,12:04:45,好的，麻煩你了，謝謝
Account,Lyken,2025/09/30,12:06:17,照片已傳送
Account,Lyken,2025/09/30,12:06:48,都有含早餐
Account,Lyken,2025/09/30,12:07:29,你們有預算嗎？
User,Nu Nue,2025/09/30,12:08:32,我們的預算哦，對公司來講價格當然越低越好啊
Account,Lyken,2025/09/30,12:09:23,我們是旅館，如果你們要低價的建議可以找比較舊式的民宿，或是福安宮香客大樓那種
User,Nu Nue,2025/09/30,12:10:24,我知道的，但是如果找不到也是沒辦法選便宜的住，所以我還是會列出來給我們主管看的
User,Nu Nue,2025/09/30,12:10:49,所以那是最優惠的價格了
Account,Lyken,2025/09/30,12:11:06,這是標準價錢
Account,Lyken,2025/09/30,12:11:30,平日可以幫你們打８折
User,Nu Nue,2025/09/30,12:11:30,雙人房的話，一間可以連假住貴的，其他住一般的有嗎
Account,Lyken,2025/09/30,12:11:52,換房沒有折扣
Account,Lyken,2025/09/30,12:12:07,同房同住才有折扣
User,Nu Nue,2025/09/30,12:12:31,那打完折扣的話是多少
Account,Lyken,2025/09/30,12:14:16,我幫你做整單折扣好了
Account,Lyken,2025/09/30,12:14:49,"NT$ 80,840
八折
NT$ 64672"
Account,Lyken,2025/09/30,12:15:37,有含稅發票
User,Nu Nue,2025/09/30,12:19:43,好的，我詢問好跟你說
User,Nu Nue,2025/09/30,16:08:16,不好意思，因為價格太高，所以上司決定暫不考慮，謝謝你的回覆
User,Nu Nue,2025/09/30,16:08:25,不好意思打擾你了
Account,Lyken,2025/09/30,18:37:05,貼圖已傳送
