帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/08/04,22:35:21,"bella感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/08/04,22:35:21,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/08/04,22:35:21,貼圖已傳送
Account,自動回應訊息,2025/08/04,22:35:21,"bella您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,bella,2025/08/04,22:38:43,"1637079487
1637079490
1637079488
1637079487
1637079491
1637079489
這都是我的訂單"
User,bella,2025/08/04,22:40:27,"'
1637079489這個訂單編號是給司機住的，車牌目前還不清楚！謝謝你，我們是遊覽車喔～
"
User,bella,2025/08/10,22:16:57,你好：抱歉這個1637079488訂單可以取消嗎？因為我們有一對夫妻要提早回台北！無法入住，希望可以協商一下
Account,Lyken,2025/08/10,22:29:13,好的
Account,Lyken,2025/08/10,22:29:38,在您再打電話告知agoda
User,bella,2025/08/10,22:30:31,貼圖已傳送
Account,Lyken,2025/08/10,22:31:32,訂單是由他們那邊修改不是我們這裡喔
User,bella,2025/08/10,22:31:50,好的
User,bella,2025/09/18,13:32:22,你好當天會有一隻小型博美犬一起住宿！是不是會另外收費
User,bella,2025/09/22,11:05:21,你好這是我們的車牌
User,bella,2025/09/22,11:05:23,"車輛司機資訊：
車型：三排小可愛
車號 : KAB-5138
司機 : 林先生
電話0930960505"
Account,Lyken,2025/09/22,11:17:06,當天遊覽車嗎？
User,bella,2025/09/22,11:17:12,是的
User,bella,2025/09/22,11:21:41,應該是中巴21人座
Account,Lyken,2025/09/22,11:22:43,因為你們訂單比較多，所以能有一位代表來辦理入住會加快入住時間喔
Account,Lyken,2025/09/22,11:23:33,遊覽車我們會大約告知可以停哪裡，是沒有專屬停車位的喔
Account,Lyken,2025/09/22,11:23:53,寵物會加收800清潔費
User,bella,2025/09/22,11:24:28,我本人會提早去幫他們辦理入住～他們要帶小朋友去海生館
User,bella,2025/09/22,11:24:37,好的
User,bella,2025/09/22,11:24:49,好～這我清楚！！
Account,Lyken,2025/09/22,11:25:31,照片已傳送
Account,Lyken,2025/09/22,11:25:57,寵物入住須知再麻煩幫我們詳閱遵守一下唷
Account,Lyken,2025/09/22,11:25:59,謝謝
User,bella,2025/09/22,11:26:54,"(2)第二日（9/27）
車城福安宮-屏東海生館-墾丁大街-民宿"
User,bella,2025/09/22,11:28:00,這是他們第二天的行程！我會跟他們告知！我家小狗不叫的～但爸爸跟婆婆比較溺愛所以我會提醒他們不要抱出來
User,bella,2025/09/22,11:28:01,謝謝
User,bella,2025/09/22,11:28:18,我怕他們回去太晚
User,bella,2025/09/22,11:28:45,大概幾點前要回到民宿
User,bella,2025/09/22,11:29:07,因為我看是會關門嗎😢
Account,Lyken,2025/09/22,11:29:31,有拿到房卡後，中庭門都可以自由進出的
User,bella,2025/09/22,11:30:59,好的👌謝謝～我再跟他們告知～因為我跟我老公是當天來回桃園屏東！所以不會跟他們同行～有什麼要注意的再跟我說！我再告知
User,bella,2025/09/26,17:55:46,請問剛剛是否有撥電話呢
