帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/09/17,17:12:07,"Bawan Gumay感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/17,17:12:07,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/17,17:12:07,貼圖已傳送
Account,自動回應訊息,2025/09/17,17:12:07,"Bawan Gumay您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Bawan Gumay,2025/09/17,17:12:10,貼圖已傳送
User,Bawan Gumay,2025/09/17,17:12:15,王先生
Account,龜地灣櫃檯,2025/09/17,17:13:02,您好 王先生  0916-625377
Account,龜地灣櫃檯,2025/09/17,17:13:31,櫃台非24小時制 所以均可用這聯繫洽詢
User,Bawan Gumay,2025/09/17,17:13:55,好
Account,龜地灣櫃檯,2025/09/17,17:14:08,您快到時可直接在這跟我們說一下  我們會去接待您
Account,龜地灣櫃檯,2025/09/17,17:15:54,提醒您  櫃台非24小時 請提早辦理注入/ 您的方案無包含早餐  / 政府提倡綠環保 需自行攜帶盥洗用品
Account,龜地灣櫃檯,2025/09/17,17:16:22,請問共預定兩間 有需要嬰幼兒澡盆/消毒鍋/圍欄嗎?
Account,龜地灣櫃檯,2025/09/17,17:16:30,可事先幫您準備
User,Bawan Gumay,2025/09/17,17:19:27,"沒關係
不會用到"
User,Bawan Gumay,2025/09/17,17:19:28,🙏
Account,龜地灣櫃檯,2025/09/17,17:19:56,好的 因下雨天 開車請小心
User,Bawan Gumay,2025/09/17,19:01:46,大概七點抵達
User,Bawan Gumay,2025/09/17,19:30:35,請問房間有冰箱嗎？
User,Bawan Gumay,2025/09/17,20:45:37,十分鐘內到
User,Bawan Gumay,2025/09/18,12:57:50,我們離開了
User,Bawan Gumay,2025/09/18,12:57:52,謝謝你
User,Bawan Gumay,2025/09/18,12:57:58,很舒服的一晚
Account,Lyken,2025/09/18,13:08:09,謝謝你們喜歡
User,Bawan Gumay,2025/09/18,13:08:51,貼圖已傳送
User,Bawan Gumay,2025/09/18,13:08:51,貼圖已傳送
Account,大美,2025/09/19,12:32:54,還有大清早聽到「碰碰碰」的聲音，是附近阿兵哥在大炮演練，這算是種幸運嗎？ 因為近期都沒聽到在演練了
User,Bawan Gumay,2025/09/19,12:47:14,當天晚上就聽到了
