帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/09/08,17:01:19,"Eugene 湯感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/08,17:01:19,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/08,17:01:19,貼圖已傳送
Account,自動回應訊息,2025/09/08,17:01:19,"Eugene 湯您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Eugene 湯,2025/09/08,17:01:39,龜地灣您好，
User,Eugene 湯,2025/09/08,17:02:36,"我們是 創甡生技，旗下品牌 DUCOLEGE 朵珂理肌 主打「曬後修護乳液、乳霜」，致力守護熱愛戶外活動的大朋友、小朋友，讓大家在享受陽光同時，也能遠離曬傷與紫外線帶來的不適。



我們以台灣鯛魚皮萃取的 高活性膠原蛋白為核心成分，實測證實能在 24 小時內有效退紅，並加速肌膚修復。比市面上的蘆薈凝膠、冰鎮噴霧效果都好許多。



考量到貴公司客群可能有相關需求，特此提出合作提案，並隨信附上公司與產品簡介，敬請參閱。



若您有任何問題或需要進一步說明，歡迎隨時與我聯繫。




--
Best Regards


創甡生物科技股份有限公司
Ducolege Biotechnology CO., LTD.
https://shop.ducolege.com.tw/zh-TW

湯翊芃 Eugene Tang / 商務拓展 Business Development
T. +886-7-6955698
E.  dclg-s@ducolege.com.tw"
User,Eugene 湯,2025/09/08,17:02:41,"https://www.canva.com/design/DAGqHXLgljg/4a3Q3iyvMje6OvXsHm5J3w/view?utm_content=DAGqHXLgljg&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h73b2fc900e
"
User,Eugene 湯,2025/09/08,17:03:53,有看到您的網頁上有在販售洗髮、沐浴、精油等用品。我們也能使用我們的原料幫您製作商品、壓你們的商標。
Account,Lyken,2025/09/08,17:06:41,可以先寄你們的明星樣品到我們這裡來評估哦
User,Eugene 湯,2025/09/08,17:08:25,好的，想請問你們有顧客有曬傷修護的需求嗎？ 還是有其他例如SPA商品的需求
Account,Lyken,2025/09/08,17:08:57,如果多元當然會更好
User,Eugene 湯,2025/09/08,17:38:21,了解，我們主要是針對傷口的修復（包含曬傷、雷射後、異位性皮膚炎），所以其他的商品線也是比較偏醫美保養，您位於墾丁，需求可能比較是曬傷的修護
User,Eugene 湯,2025/09/08,17:38:36,能夠提供您的收件資訊嗎？謝謝
Account,Lyken,2025/09/08,17:43:20,照片已傳送
