帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/08/27,21:17:52,"Alek感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/08/27,21:17:52,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/08/27,21:17:52,貼圖已傳送
Account,自動回應訊息,2025/08/27,21:17:52,"Alek您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Alek,2025/08/27,21:18:02,貼圖已傳送
User,Alek,2025/08/27,21:19:14,照片已傳送
User,Alek,2025/08/27,21:19:36,您好 這是我們的booking
User,Alek,2025/08/27,21:19:50,我們預計凌晨1:00會抵達
User,Alek,2025/08/27,21:19:57,再幫我們留房卡
Account,龜地灣櫃檯,2025/08/27,21:21:24,請拍照證件正反面
Account,龜地灣櫃檯,2025/08/27,21:21:54,並告知連絡電話
User,Alek,2025/08/27,21:23:26,照片已傳送
User,Alek,2025/08/27,21:23:32,照片已傳送
User,Alek,2025/08/27,21:23:45,0916596587
User,Alek,2025/08/27,21:23:50,秦曉飛
User,Alek,2025/08/27,21:23:52,🙏🙏
Account,龜地灣櫃檯,2025/08/27,21:25:34,稍後幫您錄影停車地點和進入房間方式，房卡會放置信箱並拍照給您。
User,Alek,2025/08/27,21:26:40,好的 感謝感謝
User,Alek,2025/08/27,23:04:23,記得傳給我喔
Account,Lyken,2025/08/27,23:11:00,下班前會傳給您
User,Alek,2025/08/27,23:43:09,貼圖已傳送
Account,Lyken,2025/08/28,00:06:13,影片已傳送
Account,Lyken,2025/08/28,00:06:13,照片已傳送
Account,龜地灣櫃檯,2025/08/28,00:06:45,先至正門口拿取房卡
Account,龜地灣櫃檯,2025/08/28,00:07:36,上掀信箱即可開啟
Account,龜地灣櫃檯,2025/08/28,00:08:58,再繼續往前開左手邊即可看到無柵欄的空地停車場
Account,Lyken,2025/08/28,00:09:07,照片已傳送
Account,Lyken,2025/08/28,00:09:57,停好車步行走入有柵欄停車場
Account,Lyken,2025/08/28,00:10:25,依影片路線抵達電梯。
Account,Lyken,2025/08/28,00:11:14,影片已傳送
Account,Lyken,2025/08/28,00:12:43,正門已上鎖請由上方影片進入住宿，為您安排5樓511號房！
User,Alek,2025/08/28,00:19:51,貼圖已傳送
Account,Lyken,2025/08/28,00:22:21,目前場所周邊天氣不穩定，行車請注意安全，提醒您，您所預訂的房型為經典雙人床（一大床）不含早餐。
User,Alek,2025/08/28,00:28:11,🙏🏻🙏🏻
