帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/08/23,22:55:04,"Connie感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/08/23,22:55:04,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/08/23,22:55:04,貼圖已傳送
Account,自動回應訊息,2025/08/23,22:55:04,"Connie您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Connie,2025/08/23,22:55:10,你好
User,Connie,2025/08/23,22:57:26,1643234886
User,Connie,2025/08/23,22:57:52,要訂房本人的身分證嗎
Account,龜地灣櫃檯,2025/08/23,22:58:14,你好
Account,龜地灣櫃檯,2025/08/23,22:58:19,不用喔
Account,龜地灣櫃檯,2025/08/23,22:58:25,一個代表就可以了
Account,龜地灣櫃檯,2025/08/23,22:58:49,再麻煩提供我們住房人大名和連絡電話
User,Connie,2025/08/23,22:59:20,照片已傳送
User,Connie,2025/08/23,22:59:27,不好意思我身邊沒有身分證
User,Connie,2025/08/23,22:59:30,護照可以嗎
Account,龜地灣櫃檯,2025/08/23,22:59:36,可以
Account,龜地灣櫃檯,2025/08/23,22:59:48,再麻煩連絡電話
User,Connie,2025/08/23,22:59:49,0905475581
Account,龜地灣櫃檯,2025/08/23,23:00:00,好的
Account,龜地灣櫃檯,2025/08/23,23:00:24,稍後幫您拍影告知您如何領取房卡和上樓
User,Connie,2025/08/23,23:01:34,謝謝
Account,龜地灣櫃檯,2025/08/23,23:02:23,夜車路上小心慢慢開
User,Connie,2025/08/23,23:38:42,請問有拍好了嗎
Account,龜地灣櫃檯,2025/08/23,23:48:51,稍後一下喔
User,Connie,2025/08/23,23:48:54,再麻煩你
Account,龜地灣櫃檯,2025/08/24,00:04:38,停車位都已經滿了，所以抵達時麻煩路邊找車位停妥，不要紅線或擋住別人住家都可以。
Account,Lyken,2025/08/24,00:05:18,影片已傳送
Account,Lyken,2025/08/24,00:05:45,這是正門看過去信箱的相對位置
Account,Lyken,2025/08/24,00:05:57,照片已傳送
Account,Lyken,2025/08/24,00:06:14,信箱上掀即可拿到房卡
Account,Lyken,2025/08/24,00:06:23,六樓的602
Account,Lyken,2025/08/24,00:06:46,照片已傳送
Account,Lyken,2025/08/24,00:07:15,進入大廳後面向指示牌左轉直走即可通往電梯
Account,龜地灣櫃檯,2025/08/24,00:08:11,"一次性備品因應政府響應環保皆無堤共，館內也無販售。
房內洗沐浴毛巾非一次性用品還是有提供。謝謝"
Account,龜地灣櫃檯,2025/08/24,02:06:21,停車位都已經滿了，所以抵達時麻煩路邊找車位停妥，不要紅線或擋住別人住家都可以。
