帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/31,18:47:18,"yuyintseng感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/31,18:47:18,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/31,18:47:18,貼圖已傳送
Account,自動回應訊息,2025/07/31,18:47:18,"yuyintseng您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,yuyintseng,2025/07/31,18:54:48,您好
User,yuyintseng,2025/07/31,18:55:18,"已下訂  RMPGP250182413
刷卡744元   確認是否成功?"
User,yuyintseng,2025/07/31,18:56:07,官網下訂   8/17 標準雙人房2480元
User,yuyintseng,2025/07/31,18:58:47,"我是2大人1小孩(6歲) 入住   
2480專案含早餐   請問小孩要另外收費嗎?"
Account,龜地灣櫃檯,2025/07/31,23:48:36,已收到您的預定，小孩7歲以下早餐免費喔
User,yuyintseng,2025/08/09,15:05:24,你好，我想續訂8／18一晚同房間。請問有空嗎？
User,yuyintseng,2025/08/09,15:06:17,可以我就下單
Account,龜地灣櫃檯,2025/08/09,15:49:17,有同房間
Account,龜地灣櫃檯,2025/08/09,15:49:40,可以直接現場加定就好
User,yuyintseng,2025/08/09,15:57:26,不用先下訂？
User,yuyintseng,2025/08/09,15:57:44,現場也是2480含早餐嗎
Account,龜地灣櫃檯,2025/08/09,16:43:09,式的
User,yuyintseng,2025/08/10,01:14:32,"您好已下訂

8/17  訂單RMPGP250182413
8/18  訂單RMPGP250191196
共2晚，不換房，免打掃。"
User,yuyintseng,2025/08/10,01:15:06,請查詢預定是否成功？謝謝
Account,Lyken,2025/08/11,11:31:43,已幫您確認完成，續住不換房，免打掃
User,yuyintseng,2025/08/17,18:08:08,"你好，
今天預計晚上7-8點才會到。"
User,yuyintseng,2025/08/17,18:08:19,check in
User,yuyintseng,2025/08/17,22:36:34,請問wifi密碼多少？
User,yuyintseng,2025/08/17,22:36:38,照片已傳送
User,yuyintseng,2025/08/17,22:36:44,無法連線
Account,Lyken,2025/08/17,22:39:54,連3開頭的試試看喔，前陣子下雨wifi訊號不穩定
