帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/08/11,21:29:07,"🦧陳六六Kelly🐾れい👣이령🤜感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/08/11,21:29:07,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/08/11,21:29:07,貼圖已傳送
Account,自動回應訊息,2025/08/11,21:29:07,"🦧陳六六Kelly🐾れい👣이령🤜您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:29:13,(dizzy)
Account,Lyken,2025/08/11,21:30:10,你好
Account,Lyken,2025/08/11,21:32:19,如果有確定要，我們要先把房間拉回了喔
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:32:52,"老闆，
那我們要  
2人  4間
4人  5間
跟你說的一間VIP 四人房 1間
總計10間。
"
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:33:11,"這樣的話，總費用是多少?
還有 訂金先支付的話 是先支付多少?"
Account,Lyken,2025/08/11,21:33:26,我先拉房間回來
Account,Lyken,2025/08/11,21:33:28,稍等一下喔
Account,Lyken,2025/08/11,21:33:41,早餐有需要嗎？
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:33:55,可以提供的話最好，增加預算也OK
Account,Lyken,2025/08/11,21:34:07,所以總人數是？
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:34:37,暫定14人
Account,Lyken,2025/08/11,21:34:56,有大概幾點用餐嗎？
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:35:53,7點左右可行嗎
Account,Lyken,2025/08/11,21:36:00,可以喔
Account,Lyken,2025/08/11,21:36:09,我跟廚房討論一下
User,🦧陳六六Kelly🐾れい👣,2025/08/11,21:36:15,OK  那總計費用跟轉帳金額再麻煩您
Account,Lyken,2025/08/11,21:36:24,好的
Account,Lyken,2025/08/11,21:47:57,好像可以擠出再多一間雙人房
Account,Lyken,2025/08/11,21:48:02,我正在確認
Account,Lyken,2025/08/11,22:05:31,確認好了
Account,Lyken,2025/08/11,22:06:02,"雙人可以有５間
四人可以有５間
這樣還需要大間的房間嗎？"
User,🦧陳六六Kelly🐾れい👣,2025/08/11,22:08:16,這樣好像可以喔
Account,Lyken,2025/08/11,22:09:08,你那邊確認一下
Account,Lyken,2025/08/11,22:09:16,我房間有幫你留著
User,🦧陳六六Kelly🐾れい👣,2025/08/11,22:09:21,好 
Account,Lyken,2025/08/11,22:09:23,明天上班告知
User,🦧陳六六Kelly🐾れい👣,2025/08/11,22:09:27,感謝你🙏
Account,Lyken,2025/08/11,22:09:32,ＯＫ
Account,Lyken,2025/08/11,22:09:36,感謝
Account,Lyken,2025/08/12,10:39:56,早安
Account,Lyken,2025/08/12,10:40:01,這裡幫您確認好了
Account,Lyken,2025/08/12,10:40:11,有五間雙人房和五間四人房
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:41:02,"早安早安 
正要傳訊息跟你確定"
Account,Lyken,2025/08/12,10:41:22,早安
Account,Lyken,2025/08/12,10:41:40,早餐的話一個人+150
Account,Lyken,2025/08/12,10:41:57,優惠給你們
Account,Lyken,2025/08/12,10:42:07,晚餐需要嗎？
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:42:20,"但如果有再增加房間
麻煩再留給我們
我們還是以11間為佳"
Account,Lyken,2025/08/12,10:42:33,好
Account,Lyken,2025/08/12,10:42:46,因該蠻難增加了
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:42:51,"早餐ok
晚餐不用"
Account,Lyken,2025/08/12,10:42:53,因為我們客人很少退訂
Account,Lyken,2025/08/12,10:43:00,好的
Account,Lyken,2025/08/12,10:43:19,再麻煩給我們單位和聯絡人姓名和電話
Account,Lyken,2025/08/12,10:43:35,我來幫您製單
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:44:34,"屏東縣政府社會處社會行政科
聯絡人：陳怡伶
0919149926"
Account,Lyken,2025/08/12,10:54:58,請問早餐的人數？
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:56:42,先14
Account,Lyken,2025/08/12,10:56:49,好
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:57:13,"是一份一份的嗎
還是自助或桌式的？"
Account,Lyken,2025/08/12,10:57:46,14會幫你們用自助喔
User,🦧陳六六Kelly🐾れい👣,2025/08/12,10:58:04,好的，謝謝
Account,Lyken,2025/08/12,10:59:05,當天是自行開車嗎？
User,🦧陳六六Kelly🐾れい👣,2025/08/12,11:00:02,"對 目前暫定3台
1台是保母車，
但可能會再調整。
待確定後告知"
Account,Lyken,2025/08/12,11:00:22,好
Account,Lyken,2025/08/12,11:01:30,有需要統編嗎？
User,🦧陳六六Kelly🐾れい👣,2025/08/12,11:08:53,"需要統編
訂房單統編91005200


但收據我們要分開開，
每位同仁要個別報帳，
還要分中央跟縣府
有點麻煩🫣
我現在算一下等等給你
"
Account,Lyken,2025/08/12,11:12:30,好
