帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/08/12,19:24:08,"柯柯🌸感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/08/12,19:24:08,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/08/12,19:24:08,貼圖已傳送
Account,自動回應訊息,2025/08/12,19:24:08,"柯柯🌸您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,柯柯🌸,2025/08/12,19:26:36,"AGODA訂單編號：1632235204
您好我有在訂房網站上訂8/30-8/31兩間雙人房
原本是預計要去楓港龍峰寺做普渡法會但是臨時取消了
所以想申請看看能不能免費取消
8/10有提出申請，但是兩天沒收到回覆AGODA那邊會不讓我再提出一次申請，想詢問看看您這邊能不能讓我們取消訂房(emoji)"
User,柯柯🌸,2025/08/13,22:47:24,貼圖已傳送
Account,龜地灣櫃檯,2025/08/14,09:16:22,請致電agoda告知喔
User,柯柯🌸,2025/08/14,09:21:47,因為需要您這邊同意我才能致電給他們給他們看(emoji)
Account,Lyken,2025/08/14,09:23:17,你們的訂單是在他們那邊喔
User,柯柯🌸,2025/08/14,09:34:37,"我剛剛有致電AGODA
他說會幫我提交免費取消的申請
但是還是會跟你們確認後他們才能點選免費取消
如果有收到他們的通知再麻煩幫我線上操作一下，謝謝(emoji)"
Account,龜地灣櫃檯,2025/08/14,09:44:46,是由他們操作喔
