帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/09/05,17:07:18,"最靈活的胖子感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/05,17:07:18,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/05,17:07:18,貼圖已傳送
Account,自動回應訊息,2025/09/05,17:07:18,"最靈活的胖子您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,最靈活的胖子,2025/09/05,17:09:35,您好，我要預約115年2月17-18日的房間，3大1小！
Account,Lyken,2025/09/05,17:14:48,明年房價還未公布及開放預訂喔
Account,Lyken,2025/09/05,17:15:22,約11月初開放
User,最靈活的胖子,2025/09/05,17:26:29,好的
Account,Lyken,2025/09/05,17:30:38,屆時通知喔
User,最靈活的胖子,2025/09/05,17:31:35,好的
User,最靈活的胖子,2025/09/15,09:43:05,請問2月17-18日的訂房開放了嗎？
Account,Lyken,2025/09/15,14:28:34,約11月初開放
User,最靈活的胖子,2025/09/15,14:37:09,好的
User,最靈活的胖子,2025/10/01,18:26:31,"您好！
2月17-18日的開放訂房時間預計是在11月份，那請問有沒有確切的日期、時間點？
譬如11月10日上午10點鐘開放訂房？！"
Account,Lyken,2025/10/02,10:21:21,２月份訂房系統會更新，所以目前還沒有一個明確的可預定時間喔
User,最靈活的胖子,2025/10/02,10:27:06,好的
User,最靈活的胖子,2025/10/27,11:50:12,請問2月份訂房系統更新了嗎？
User,最靈活的胖子,2025/11/03,21:05:11,請問2月份訂房系統更新了嗎？
User,最靈活的胖子,2025/11/10,18:19:14,你好，我在11月8日有在網站上面訂房2間，有些事想請問！
Account,Unknown,2025/11/10,18:19:14,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
Account,龜地灣櫃檯,2025/11/10,18:19:50,請說
User,最靈活的胖子,2025/11/10,18:20:02,照片已傳送
User,最靈活的胖子,2025/11/10,18:20:02,照片已傳送
User,最靈活的胖子,2025/11/10,18:20:17,這樣就算訂房完成了嗎？
Account,Unknown,2025/11/10,18:20:17,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,最靈活的胖子,2025/11/10,18:20:57,照片已傳送
User,最靈活的胖子,2025/11/10,18:20:58,這是我的資料
User,最靈活的胖子,2025/11/10,18:21:24,照片已傳送
User,最靈活的胖子,2025/11/10,18:21:24,然後匯款匯訂金就可以了嗎？
Account,龜地灣櫃檯,2025/11/10,18:21:56,付款完成才算預定完成喔
Account,龜地灣櫃檯,2025/11/10,18:22:55,系統收到款項會自動mail給您訂單完成信件
Account,龜地灣櫃檯,2025/11/10,18:23:03,這樣才算預定完成
User,最靈活的胖子,2025/11/10,18:23:45,"好！
那我先確認一下，我這樣子是訂2間雙人房，沒錯吧？！"
Account,龜地灣櫃檯,2025/11/10,18:24:46,是的
Account,龜地灣櫃檯,2025/11/10,18:25:13,訂單內容您可以在詳細核對一次在進行匯款
User,最靈活的胖子,2025/11/10,18:25:31,每一間雙人房裡，是1張單人床加大的，還是1張雙人床？！
User,最靈活的胖子,2025/11/10,18:26:02,每一間雙人房裡，是2張單人床加大的，還是1張雙人床？！
Account,龜地灣櫃檯,2025/11/10,18:26:07,雙人床或兩張單人床
User,最靈活的胖子,2025/11/10,18:27:01,我可以要1間房是雙人床的，另一間房是2張單人床的嗎？
Account,龜地灣櫃檯,2025/11/10,18:27:58,麻煩訂單完成後再告知我們，目前訂單未完成預訂無法幫您進行備注安排
User,最靈活的胖子,2025/11/10,18:28:07,好的
User,最靈活的胖子,2025/11/10,18:47:45,照片已傳送
User,最靈活的胖子,2025/11/10,18:47:53,匯款完成
User,最靈活的胖子,2025/11/10,18:48:00,照片已傳送
User,最靈活的胖子,2025/11/10,18:48:11,信箱也有收到
Account,龜地灣櫃檯,2025/11/10,18:48:34,好的
User,最靈活的胖子,2025/11/10,18:49:33,"麻煩幫我備注
1間房是雙人床！
另一間房是2張單人床！
謝謝！"
Account,龜地灣櫃檯,2025/11/10,18:49:41,好的
User,最靈活的胖子,2025/11/10,18:50:01,最晚何時之前能更改？
Account,龜地灣櫃檯,2025/11/10,18:51:02,更改什麼部分？
User,最靈活的胖子,2025/11/10,18:53:16,另1間房是2張單人床，如果要改成1張雙人床，最晚什麼時候要告知？
Account,龜地灣櫃檯,2025/11/10,18:54:05,需要更改都可以告知，但是是不是已經有人預定的要看當下是不是都預定滿了
User,最靈活的胖子,2025/11/10,18:54:49,好的
User,最靈活的胖子,2025/11/15,12:07:37,你好
