帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/26,11:14:25,"🌸Jen 家珍感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/26,11:14:25,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/26,11:14:25,貼圖已傳送
User,🌸Jen 家珍3/9,2024/02/26,11:14:31,貼圖已傳送
Account,AI自動回應訊息,2024/02/26,11:14:31,貼圖已傳送
User,🌸Jen 家珍3/9,2024/02/26,11:19:31,"您好，訂房編號1145171464
想確認房內是否提供一次性備品及浴、毛巾呢？"
Account,AI自動回應訊息,2024/02/26,11:19:32,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/02/26,11:19:49,有提供喔
User,🌸Jen 家珍3/9,2024/02/26,11:22:47,貼圖已傳送
User,🌸Jen 家珍3/9,2025/03/08,00:30:58,您好，我們有訂房 明天入住。想請問，房間是否有提供浴巾呢？
Account,Lyken,2025/03/08,12:10:23,有提供浴巾，只有一次性用品沒有提供
User,🌸Jen 家珍3/9,2025/11/14,21:57:38,"我已轉帳NT$2,358給你，請確認一下存款明細喔！（806元大，帳號後五碼17993）"
User,🌸Jen 家珍3/9,2025/11/14,22:00:49,您好，再麻煩您確認
Account,Lyken,2025/11/15,09:00:55,官網預訂有自動對帳系統，如果訂金已支付完成，確認您預定留的mail中有沒有告知預定成功信件就可以了喔。
