帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/05,17:35:55,"妤棈感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/05/05,17:35:55,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/05/05,17:35:55,貼圖已傳送
Account,自動回應訊息,2025/05/05,17:35:55,"妤棈您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,妤棈,2025/05/05,17:36:01,你好
User,妤棈,2025/05/05,17:36:23,想請問旅館內有烤肉設施嗎
User,妤棈,2025/05/05,17:36:27,照片已傳送
Account,Lyken,2025/05/05,17:36:46,"烤肉場地費$3,500 (為飯店中庭)
     設備有美式瓦斯烤肉爐(含小桶瓦斯一桶)
     大型保冰箱一個(含一大袋冰塊)
     室外美式餐桌椅可容納40人
     不含食材和免洗餐具，可以幫忙代叫食材
     或代烤須由館內安排。
     嚴禁卡拉OK．禁擾寧設備器材．禁非旅棧提供之烹飪設備，如有需其他設備請提前告知評估。
*當天以1組客人預約為限，請至少三天前預約我們會幫您做確認，謝謝您"
User,妤棈,2025/05/05,17:38:27,"了解 
另外 請問你們有場地可聚餐使用嗎"
User,妤棈,2025/05/05,17:38:41,非烤肉 需要費用嗎
Account,Lyken,2025/05/05,17:38:54,中庭有開放使用喔
User,妤棈,2025/05/05,17:41:14,照片已傳送
User,妤棈,2025/05/05,17:41:21,請問這個是中庭嗎
User,妤棈,2025/05/05,17:41:26,還是戶外那個烤肉區
Account,大美,2025/05/05,17:41:49,這個區域
Account,大美,2025/05/05,17:42:36,或者可以到內部餐廳，有供桌椅，但開放到晚上9:00
User,妤棈,2025/05/05,17:43:34,"好的 了解
請問都需要提前預約嗎"
User,妤棈,2025/05/05,17:43:39,戶外有時間限制嗎
Account,大美,2025/05/05,17:46:22,方便問一下您大概幾位呢？
User,妤棈,2025/05/05,17:46:58,九大七小
Account,大美,2025/05/05,17:52:09,那餐廳內部可能無法供您使用（且需看當天情況），戶外中庭雖沒有時間限制，但為了確保其他住宿品質，也煩請在晚上十點過後保持安靜
Account,大美,2025/05/05,17:52:23,不好意思
User,妤棈,2025/05/05,17:53:09,是因為餐廳有人用餐的關係嗎
User,妤棈,2025/05/05,17:54:39,"請問餐廳有提供晚餐的嗎
若有有菜單可以參考嗎"
Account,大美,2025/05/05,17:59:00,因為考量明早有住宿戶需用早餐，要清潔打掃原告
Account,大美,2025/05/05,17:59:46,基本上餐廳是給住宿客裝飲水、及供給早餐，鮮少開放
Account,大美,2025/05/05,18:01:09,因為考量明早有住宿戶需用早餐，要前一晚清潔打掃原因，暫且不開放，抱歉
User,妤棈,2025/05/05,18:02:52,了解 謝謝喔
User,妤棈,2025/05/06,20:14:57,你好 請問旅館附近有什麼地方可以聊天吃東西到午夜的嗎
User,妤棈,2025/05/30,21:55:21,你好
User,妤棈,2025/05/30,21:55:25,照片已傳送
User,妤棈,2025/05/30,21:55:44,照片已傳送
User,妤棈,2025/05/30,21:57:03,我們一共訂了六間房 可以盡量幫我們排在一起嗎
User,妤棈,2025/05/31,11:51:00,哈囉 請問有收到消息嗎
Account,Lyken,2025/06/02,18:57:30,好的，還是會以現場為主喔
User,妤棈,2025/06/02,19:40:22,了解 謝謝
User,妤棈,2025/08/02,09:55:31,你好 我想請問這陣子的連續大雨 屏東恆春有影響嗎
User,妤棈,2025/08/02,09:56:58,"我8/16有訂房 但是南台灣幾乎都淹水 路況也出問題
不知道墾丁附近有狀況嗎"
Account,Lyken,2025/08/02,10:21:49,這裡沒有淹水喔
User,妤棈,2025/08/02,10:23:31,"有其他災情嗎
因為我看新聞有報導道路損壞"
Account,Lyken,2025/08/02,11:36:01,過來的路上沒有聽客人反應
User,妤棈,2025/08/02,11:44:47,好的 謝謝
