帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/04,14:03:23,"佩感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/04,14:03:23,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/04,14:03:23,貼圖已傳送
Account,自動回應訊息,2025/07/04,14:03:23,"佩您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,佩,2025/07/04,14:05:02,"1626609022
原定7/6，想改期成7/13"
Account,Lyken,2025/07/04,14:16:43,好的
Account,Lyken,2025/07/04,14:17:08,這部分還是有由訂房人致電agoda告知要修改日期
User,佩,2025/07/04,14:37:02,已更改
Account,Lyken,2025/07/04,14:37:36,好的，agoda會自動通知
User,佩,2025/07/14,09:59:36,照片已傳送
User,佩,2025/07/14,09:59:37,照片已傳送
User,佩,2025/07/14,09:59:37,照片已傳送
User,佩,2025/07/14,09:59:43,影片已傳送
User,佩,2025/07/14,10:10:57,15:10-16:45之間
Account,龜地灣櫃檯,2025/07/14,21:11:30,以幫你們查閱過了喔，從您第一次開始停車到第一次外出，駕駛座邊的車子都沒有人牽車，您第一次外出後駕駛座左方的車子接續才外出。後續您回來你駕駛座旁都是空著位置。可能您的車損時間不是於館內停車發生的時間。
Account,龜地灣櫃檯,2025/07/14,21:11:45,照片已傳送
Account,龜地灣櫃檯,2025/07/14,21:11:49,照片已傳送
User,佩,2025/07/14,21:30:28,好的，還是謝謝你們的幫忙🙏🏻
Account,龜地灣櫃檯,2025/07/14,22:08:10,貼圖已傳送
