帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/11,16:59:21,"姿晴sᴜɴɴʏÜ感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/11,16:59:21,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/11,16:59:21,貼圖已傳送
Account,自動回應訊息,2025/07/11,16:59:21,"姿晴sᴜɴɴʏÜ您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,姿晴 ㄗᴗ̈,2025/07/11,18:13:11,您好 給您看一下要冰的項目
User,姿晴 ㄗᴗ̈,2025/07/11,18:13:21,照片已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,18:13:39,照片已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,18:13:46,麵團
User,姿晴 ㄗᴗ̈,2025/07/11,18:13:53,貼圖已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,18:14:32,0906142806 陳小姐
User,姿晴 ㄗᴗ̈,2025/07/11,18:42:25,抓9點前到那邊
User,姿晴 ㄗᴗ̈,2025/07/11,18:42:27,貼圖已傳送
Account,龜地灣櫃檯,2025/07/11,18:53:53,好的 沒問題 
User,姿晴 ㄗᴗ̈,2025/07/11,20:03:01,照片已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,20:03:01,照片已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,21:15:09,照片已傳送
User,姿晴 ㄗᴗ̈,2025/07/11,21:15:24,大概21:20 剛下交流道
User,姿晴 ㄗᴗ̈,2025/07/11,21:15:27,貼圖已傳送
Account,龜地灣櫃檯,2025/07/12,16:04:45,哈囉 您回來時候 若櫃台無人 麻煩撥打088822161 
Account,龜地灣櫃檯,2025/07/12,16:04:53,會下去幫您冰鎮食物
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:03,好的～
Account,龜地灣櫃檯,2025/07/12,16:05:11,謝謝您
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:13,謝謝
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:16,貼圖已傳送
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:40,如無打電話。有可能是賣完了😅😅
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:43,貼圖已傳送
User,姿晴 ㄗᴗ̈,2025/07/12,16:05:52,貼圖已傳送
Account,龜地灣櫃檯,2025/07/12,21:15:39,貼圖已傳送
