帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/09,18:02:04,"Gina感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/09,18:02:04,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/09,18:02:04,貼圖已傳送
Account,自動回應訊息,2025/07/09,18:02:04,"Gina您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Gina,2025/07/09,18:02:27,你好
User,Gina,2025/07/09,18:02:33,貼圖已傳送
User,Gina,2025/07/09,18:02:56,想詢問能不能選312的房型
Account,龜地灣櫃檯,2025/07/09,18:06:01,"Gina您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,龜地灣櫃檯,2025/07/09,18:06:28,官網可以預訂喔
User,Gina,2025/07/09,18:12:11,我已經訂房也付訂金了，是剛剛有一位小姊打來，詢問房間需求跟確定人數的時候，她告訴我可以從官方line詢問，再請你們安排房間☺️
Account,Lyken,2025/07/09,18:15:31,好的
Account,Lyken,2025/07/09,18:15:43,是要有船的那一間是嗎？
Account,Lyken,2025/07/09,18:15:56,兩間會有價差喔
User,Gina,2025/07/09,18:16:11,我的訂單編號是這個RMPGP250160934
User,Gina,2025/07/09,18:16:26,價差大概多少呢？
Account,Lyken,2025/07/09,18:17:27,稍後幫您查詢
User,Gina,2025/07/09,18:21:58,好呀
User,Gina,2025/07/09,18:22:55,如果不方便也沒關係，我們就維持原本的訂單就好
Account,Lyken,2025/07/09,18:23:48,我們正在確認
Account,Lyken,2025/07/09,18:23:51,請稍等喔
Account,Lyken,2025/07/09,18:34:07,當天房價是9880元整，還有您需要的房型。
User,Gina,2025/07/09,18:34:32,貼圖已傳送
User,Gina,2025/07/09,18:34:46,我還是原本的好了
Account,Lyken,2025/07/09,18:34:49,好的
User,Gina,2025/07/09,18:35:32,真是謝謝你☺️
Account,Lyken,2025/07/09,18:36:29,兩種房型是不一樣的喔，親子家庭房總坪數32坪大，所以價位也會不同
User,Gina,2025/07/09,18:36:59,原來是這樣，我以為只是裡面有多小朋友的玩具
Account,Lyken,2025/07/09,18:37:13,完全不一樣的房間喔
Account,Lyken,2025/07/09,18:37:53,有沙發區 臥室區 遊戲區 
Account,Lyken,2025/07/09,18:38:04,所以坪數較大
User,Gina,2025/07/09,18:39:47,感覺很棒🤣 如果下次有機會下來屏東我們再考慮看看，這次因為還有其他行程，在飯店的時間比較短暫
Account,Lyken,2025/07/09,18:40:40,好的
Account,Lyken,2025/07/09,18:40:42,環贏
Account,Lyken,2025/07/09,18:40:46,歡迎
User,Gina,2025/07/09,18:40:51,貼圖已傳送
