帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/02,14:55:41,"Lydia感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/02,14:55:41,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/02,14:55:41,貼圖已傳送
Account,自動回應訊息,2025/07/02,14:55:41,"Lydia您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Lydia,2025/07/02,15:06:51,"江先生您好

剛剛有致電詢問床的問題，我是幫父母訂房，媽媽覺得您們的床非常好睡（因為她睡眠不太好，但在你們那邊難得睡了一晚好眠，對於你們的服務、設備、環境，也是讚不絕口）

想詢問貴公司的床墊是哪家廠商，如能告知將非常感謝🙏

住宿06/30-07/01一晚

訂單編號：
1625649412

訂房人：
Liao Pei Han 

手機：0912-033040

住宿者：
吳素秋/廖學明"
User,Lydia,2025/07/02,15:07:52,"他們當天是住5樓 

他們太不記得房間號碼了
應該是509號房 
不曉得你們那邊是否還有紀錄"
User,Lydia,2025/07/02,15:08:37,照片已傳送
User,Lydia,2025/07/02,15:08:37,照片已傳送
User,Lydia,2025/07/02,15:08:37,照片已傳送
Account,Lyken,2025/07/03,00:31:47,沒錯，您入住的是509
Account,Lyken,2025/07/03,00:32:06,明天幫您確認床墊後告知，謝謝
User,Lydia,2025/07/03,17:54:38,謝謝您☺️
User,Lydia,2025/07/07,09:01:05,"您好 
請問是否有找到床墊資訊了呢～"
Account,龜地灣櫃檯,2025/07/07,10:11:28,早安 
Account,龜地灣櫃檯,2025/07/07,10:13:11,有一直在幫您詢問. 但當初購買已是前幾年的事情 廠商也在查詢那款
User,Lydia,2025/07/07,10:35:18,"早安

非常感謝您的協助～
麻煩您了
那我靜候佳音

再次感謝🙏"
User,Lydia,2025/07/07,10:35:20,貼圖已傳送
Account,Lyken,2025/07/07,10:36:00,請問是要什麼尺寸的？
User,Lydia,2025/07/07,10:37:03,"想問問單人 雙人 跟加大的
感謝您"
Account,Lyken,2025/07/07,10:52:40,單人只有加大的喔
User,Lydia,2025/07/07,11:09:55,嗯嗯 好的
User,Lydia,2025/07/07,11:10:13,貼圖已傳送
Account,Lyken,2025/07/08,12:30:04,廠商可能會比較晚回覆，這次颱風廠商在嘉義，所以他們要先整理家園
User,Lydia,2025/07/08,13:38:28,"哇 辛苦了 

床墊不急 等他們整理好 
有空再回覆就好

也謝謝您都會告知 麻煩您了"
User,Lydia,2025/07/08,13:38:30,貼圖已傳送
