帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/05,21:48:53,"明倫感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/05,21:48:53,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/05,21:48:53,貼圖已傳送
Account,自動回應訊息,2025/07/05,21:48:53,"明倫您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,明倫,2025/07/05,21:48:59,照片已傳送
User,明倫,2025/07/05,21:49:29,這是Agoda修正後明細
User,明倫,2025/07/05,21:49:41,再麻煩幫我確認一下
User,明倫,2025/07/05,21:49:43,謝謝
User,明倫,2025/07/05,21:51:03,"第一筆：1625727226
第二筆：1625728815"
Account,Lyken,2025/07/05,23:53:15,"不好意思，麻煩再次跟agoda確認，您所要更改的日期7/19當天已無相同房型，目前旅棧看到是
第一筆：1625727226   改為7/19標準四人房
第二筆：1625728815   無更改日期成功
入住依我們實際房間狀況為主，所以這部分您還要跟agoda再次確認，以免造成您無法如期入住。"
User,明倫,2025/07/06,00:01:50,"我有再跟Agoda聯絡，他說有跟你們林小姐確認「兩筆都有更改」系統也有更正了！要我跟你們確認。

現在你們又要我再跟Agoda確認，他們答覆也是一樣，所以我現在是你們飯店跟Agoda 雙方的「客服」嗎？！

我感覺現在兩邊都說自己是對的，感覺要我自己去看看兩邊那個先認錯嗎？！"
Account,Lyken,2025/07/06,00:03:26,他們是單方面更改，並沒有詢問過我們房間裝況喔
User,明倫,2025/07/06,00:04:04,他說有打電話過去確認了才改的
User,明倫,2025/07/06,00:04:21,我還特別確認兩筆！
User,明倫,2025/07/06,00:04:58,所以他們沒有打電話跟你們確認嗎？
Account,Lyken,2025/07/06,00:05:38,agoda並沒有詢問我們您要更換的同房型是否還有空房，只有問我們可不可以免費更改
Account,Lyken,2025/07/06,00:05:45,我們是同意免費更改的
User,明倫,2025/07/06,00:05:54,我感覺是林小姐跟Agoda在協調時出問題了
Account,Lyken,2025/07/06,00:06:38,這部分沒有問題，因為我們的庫存系統都會自動上傳給他們
Account,Lyken,2025/07/06,00:08:06,標準雙人房的庫存量，我們也查過紀錄６／２０就被定滿了，所以問題是出在agoda
Account,Lyken,2025/07/06,00:08:13,這邊都有記錄的
User,明倫,2025/07/06,00:08:35,…
User,明倫,2025/07/06,00:11:14,我真的很無言欸，你們不能跟Agoda直接協調到底誰出問題嗎？兩邊堅持己見，我夾在中間要怎麼辦
Account,Lyken,2025/07/06,00:12:04,因為您的訂單只有agoda可以修改
Account,Lyken,2025/07/06,00:12:13,都是綁在他們那邊
Account,Lyken,2025/07/06,00:12:18,所以我們無法更改
User,明倫,2025/07/06,00:12:26,我再打電話去責問
Account,Lyken,2025/07/06,00:12:37,好的
Account,Lyken,2025/07/06,00:12:56,有什麼直接line告知我們協助您
User,明倫,2025/07/06,00:16:27,19號房間現在全部客滿嗎？謝謝
Account,Lyken,2025/07/06,00:16:45,沒有都客滿喔
Account,Lyken,2025/07/06,00:17:13,我們標準雙人房只有６間，有一組客人６／２０就已經預訂６間了
Account,Lyken,2025/07/06,00:17:33,所以７／１９是沒有同樣的房型的
User,明倫,2025/07/06,00:18:59,所以19、20兩天雙人房都沒有房間了，是這樣嗎？謝謝
Account,Lyken,2025/07/06,00:19:47,幫您確認一下２０號
Account,Lyken,2025/07/06,00:20:41,２０號標準雙人房足夠２間
Account,Lyken,2025/07/06,00:20:52,稍等一下
Account,Lyken,2025/07/06,00:21:04,我們剛剛也去調了錄音
Account,Lyken,2025/07/06,00:21:37,我們確認林小姐只有同意免費更改日期
Account,Lyken,2025/07/06,00:21:50,agoda沒有確認好庫存量
Account,Lyken,2025/07/06,00:21:59,這個部分您可以和他要求
User,明倫,2025/07/06,00:22:25,"我假如請Agoda兩筆訂單都改20號可以嗎？
20號晚上四人房跟雙人房都有嗎？"
Account,Lyken,2025/07/06,00:22:56,目前看都房間都還足夠喔
User,明倫,2025/07/06,00:23:12,改日期不確認房間，是要睡哪裡？這個客服也是好玩
User,明倫,2025/07/06,00:23:42,Agoda部份我會打電話去責問
Account,Lyken,2025/07/06,00:23:56,卡在國外訂房平台是比較麻煩了
User,明倫,2025/07/06,00:23:58,謝謝您幫忙協助
Account,Lyken,2025/07/06,00:24:11,應該的，謝謝
User,明倫,2025/07/06,00:24:55,只是我感覺兩筆協調上有問題不該是消費者在扛這個責任，還被當皮球丟來丟去
User,明倫,2025/07/06,00:25:25,所以是可以嗎？
User,明倫,2025/07/06,00:25:50,要你們同意我再要求他們
Account,Lyken,2025/07/06,00:25:51,沒有辦法，因為訂單在他們那邊，我們沒辦法修改喔
User,明倫,2025/07/06,00:25:58,我知道
Account,Lyken,2025/07/06,00:26:03,我們是都同意的
Account,Lyken,2025/07/06,00:26:14,因颱風我們都給客人方便修改日期
User,明倫,2025/07/06,00:26:31,我先幫兩邊大家搞清楚狀況
Account,Lyken,2025/07/06,00:27:02,庫存足夠沒有問題
Account,Lyken,2025/07/06,00:28:40,７／２０
User,明倫,2025/07/06,00:29:04,詢問一下，假如不住了，他們同意退款就可以嗎？還是要你們同意？
Account,Lyken,2025/07/06,00:30:17,我們不會同意退款，因為同意退款他們會跟我們收款喔
User,明倫,2025/07/06,00:53:26,剛剛我跟Agoda 客服詢問，她們還是堅持有協調，所以他們會打電話給你們
Account,Lyken,2025/07/06,00:53:57,稍後一下喔
User,明倫,2025/07/06,00:54:05,說你們會再跟我聯絡….
User,明倫,2025/07/06,00:54:14,好的謝謝您
Account,Lyken,2025/07/06,00:54:29,我們確認一下
Account,Lyken,2025/07/06,00:54:58,最早您是預定７／５一間雙人房和一間四人房正確嗎？
User,明倫,2025/07/06,00:55:19,是的
Account,Lyken,2025/07/06,00:56:23,所以四人房有更改成功，雙人房沒有更改成功
Account,Lyken,2025/07/06,00:57:16,我們這裡看到的資訊是這樣
User,明倫,2025/07/06,01:05:10,他們剛剛有打給你嗎
Account,Lyken,2025/07/06,01:05:23,有
Account,Lyken,2025/07/06,01:05:29,他們還搞不清楚狀況
Account,Lyken,2025/07/06,01:05:49,我們正在處理
Account,Lyken,2025/07/06,01:06:13,我們大概您說明一下
User,明倫,2025/07/06,01:06:14,那你們沒有當面馬上跟她們說他們狀況外…
Account,Lyken,2025/07/06,01:06:30,就是四人房沒問題
User,明倫,2025/07/06,01:06:42,我知道
Account,Lyken,2025/07/06,01:06:53,但是雙人房當天你要的房型沒有了
Account,Lyken,2025/07/06,01:07:09,換別的雙人房會有價差
User,明倫,2025/07/06,01:07:58,所以…
Account,Lyken,2025/07/06,01:08:04,這部分你要希望直接和您修改補價差還是您要跟agoda協調？
User,明倫,2025/07/06,01:09:08,我再打一次電話
Account,Lyken,2025/07/06,01:09:23,好的
User,明倫,2025/07/06,01:19:59,他們現在打電話過去了
User,明倫,2025/07/06,01:20:02,有嗎？
User,明倫,2025/07/06,01:20:16,我想三方確認一下，真的有點累
