帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/18,12:24:55,"ChunJan感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/06/18,12:24:55,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/06/18,12:24:55,貼圖已傳送
Account,自動回應訊息,2025/06/18,12:24:55,"ChunJan您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,ChunJan,2025/06/18,12:27:40,"您好：我有在Agoda預訂7/26-27日的兩間四人房。
因公司臨時安排出差，想請教能否延期至8/16-17或23-24都可以"
User,ChunJan,2025/06/18,22:52:31,Agoda訂單編號：1611993439
User,ChunJan,2025/06/20,19:09:38,不好意思，我這裡維持7/26-27 
User,ChunJan,2025/06/20,19:10:25,就不用更改了，抱歉唷
User,ChunJan,2025/07/01,20:46:25,照片已傳送
User,ChunJan,2025/07/01,20:47:56,"對不起，公司臨時家庭日活動改期到7/26
Agoda訂單編號：1611993439
原本7/26入住的兩間四人房可以改到8/16-17嗎？"
User,ChunJan,2025/07/01,20:48:00,非常抱歉
Account,龜地灣櫃檯,2025/07/01,23:28:51,可以了，這部分要麻煩聯絡agoda喔，我們會同意免費更改同房型
User,ChunJan,2025/07/02,00:33:33,好的，謝謝您
User,ChunJan,2025/07/02,00:33:39,辛苦你們了
Account,大美,2025/07/04,10:31:59,貼圖已傳送
