帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/02,18:05:32,"AINA艾娜感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/07/02,18:05:32,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/07/02,18:05:32,貼圖已傳送
Account,自動回應訊息,2025/07/02,18:05:32,"AINA艾娜您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,AINA艾娜,2025/07/02,18:06:09,貼圖已傳送
User,AINA艾娜,2025/07/02,18:20:04,你好
Account,Lyken,2025/07/02,19:44:10,"https://www.google.com/maps/place/%E7%9C%8B%E6%B5%B7%E7%BE%8E%E8%A1%93%E9%A4%A8/@22.089931,120.7152811,1041m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3471b7ce4813327d:0x5def3d7e12022a49!8m2!3d22.089931!4d120.7152811!16s%2Fg%2F11q4hcdwg7?entry=ttu&g_ep=EgoyMDI1MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Account,Lyken,2025/07/02,19:45:05,"https://www.google.com/maps/place/944%E5%B1%8F%E6%9D%B1%E7%B8%A3%E8%BB%8A%E5%9F%8E%E9%84%89%E5%BE%8C%E7%81%A3/@22.040214,120.6940273,1042m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3471b9e9d03649c5:0xa27fc5e5650b6119!8m2!3d22.0398363!4d120.6959497!16s%2Fg%2F1vvyvt_y?entry=ttu&g_ep=EgoyMDI1MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Account,Lyken,2025/07/02,19:45:07,不好意思
Account,Lyken,2025/07/02,19:45:13,剛剛忙忘了傳
