帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/26,13:46:13,"Wei感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/06/26,13:46:13,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/06/26,13:46:13,貼圖已傳送
Account,自動回應訊息,2025/06/26,13:46:13,"Wei您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Wei,2025/06/26,13:47:14,你好，想請問6/28入住的兩人，目前還有哪些房型
Account,Lyken,2025/06/26,13:55:13,"Wei您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,Wei,2025/06/26,13:59:31,請問你們的早餐是自助式的嗎
Account,Lyken,2025/06/26,14:02:32,會因當天人數情況調整
Account,Lyken,2025/06/26,14:02:43,自助式或半自助式
Account,Lyken,2025/06/26,14:02:54,原則上食材都一樣
User,Wei,2025/06/26,14:18:54,了解
User,Wei,2025/06/26,14:19:30,你們房價就是官網上的價格嗎？還是會有優惠？
Account,Lyken,2025/06/26,14:24:24,官網已經是優惠價了哦
User,Wei,2025/06/28,01:17:42,👌🏻請問你們行政房有多什麼特別的服務嗎？
Account,Lyken,2025/06/28,11:54:31,主要裝潢不同
