帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/11/08,15:45:29,"藍小美（A mei  RuRu Rain感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/11/08,15:45:29,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/11/08,15:45:29,貼圖已傳送
Account,自動回應訊息,2025/11/08,15:45:29,"藍小美（A mei  RuRu Rain您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,藍小美（A mei  RuRu Rain,2025/11/08,15:45:49,你好
User,藍小美（A mei  RuRu Rain,2025/11/08,15:47:28,"我們要訂115/1/26住宿
"
User,藍小美（A mei  RuRu Rain,2025/11/08,15:47:47,照片已傳送
User,藍小美（A mei  RuRu Rain,2025/11/08,15:47:58,三間四人房
User,藍小美（A mei  RuRu Rain,2025/11/08,15:48:51,請問有房嗎
Account,Unknown,2025/11/08,15:48:51,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,藍小美（A mei  RuRu Rain,2025/11/08,15:49:25,住宿卷要付訂金？
Account,龜地灣櫃檯,2025/11/08,15:49:35,不用喔
Account,龜地灣櫃檯,2025/11/08,15:50:07,您直接於官網預定好，給我們訂單編號和住宿劵編號即可
User,藍小美（A mei  RuRu Rain,2025/11/08,15:50:17,好
Account,龜地灣櫃檯,2025/11/08,15:50:37,付款方式選擇轉帳
User,藍小美（A mei  RuRu Rain,2025/11/08,15:55:21,好
User,藍小美（A mei  RuRu Rain,2025/11/08,16:01:18,卷在這
User,藍小美（A mei  RuRu Rain,2025/11/08,16:02:25,照片已傳送
User,藍小美（A mei  RuRu Rain,2025/11/08,16:02:25,照片已傳送
Account,Lyken,2025/11/08,16:09:08,麻煩完整的卷幫我們拍攝不同的三張
User,藍小美（A mei  RuRu Rain,2025/11/08,16:09:21,好
User,藍小美（A mei  RuRu Rain,2025/11/08,16:09:48,照片已傳送
User,藍小美（A mei  RuRu Rain,2025/11/08,16:10:04,照片已傳送
User,藍小美（A mei  RuRu Rain,2025/11/08,16:10:16,照片已傳送
Account,Lyken,2025/11/08,16:32:30,稍後一下喔
User,藍小美（A mei  RuRu Rain,2025/11/09,09:19:56,請問有訂房成功嗎
Account,Unknown,2025/11/09,09:19:57,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,藍小美（A mei  RuRu Rain,2025/11/09,13:43:58,你好
User,藍小美（A mei  RuRu Rain,2025/11/09,13:44:10,請問有訂成功嗎
User,藍小美（A mei  RuRu Rain,2025/11/09,13:44:23,等的有點久
Account,Lyken,2025/11/09,15:46:35,有幫您保留房間，你的訂單需手動更新，完成後會告知您
Account,Lyken,2025/11/11,17:51:52,照片已傳送
Account,Lyken,2025/11/11,17:54:02,已幫您更新完成，麻煩抵達時務必提供住宿卷，認卷不認人哦！謝謝
User,藍小美（A mei  RuRu Rain,2025/11/11,19:14:26,好的謝謝
