帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,惠珍5/7,2024/04/18,18:50:41,請問星期六還有房間嗎？
Account,AI自動回應訊息,2024/04/18,18:50:42,"惠珍Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,惠珍5/7,2024/04/18,18:53:24,標準雙人房
Account,Lyken,2024/04/18,18:53:35,"惠珍您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,惠珍5/7,2024/04/18,18:59:12,已訂房完成
Account,AI自動回應訊息,2024/04/18,18:59:13,"惠珍很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,惠珍5/7,2024/04/18,18:59:17,需要一大床
Account,AI自動回應訊息,2024/04/18,18:59:17,"惠珍Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,惠珍5/7,2024/04/18,19:01:25,照片已傳送
Account,AI自動回應訊息,2024/04/18,19:01:27,"惠珍Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,惠珍5/7,2024/11/28,12:00:30,照片已傳送
User,惠珍5/7,2024/11/28,12:02:23,照片已傳送
User,惠珍5/7,2024/11/28,12:02:35,可以幫我改標準雙人房一大床
User,惠珍5/7,2024/11/28,12:05:38,有先預付1494元
Account,Lyken,2024/11/28,12:20:51,照片已傳送
Account,Lyken,2024/11/28,12:21:32,已幫您修改訂單完成，實際預定以上圖為主喔
User,惠珍5/7,2024/11/28,12:21:38,👌
User,惠珍5/7,2025/06/11,20:47:05,照片已傳送
User,惠珍5/7,2025/06/11,20:47:11,照片已傳送
User,惠珍5/7,2025/06/11,20:47:26,經典雙人，我要一大床，不要拼床
User,惠珍5/7,2025/06/13,19:38:41,明日早餐0800
