帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/05,10:18:49,"Shan Wei感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/05/05,10:18:49,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/05/05,10:18:49,貼圖已傳送
Account,自動回應訊息,2025/05/05,10:18:49,"Shan Wei您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Savie,2025/05/05,10:19:10,你好
User,Savie,2025/05/05,10:19:28,"你好
請問飯店附近有超商或早餐店嗎？
跟鄰近景點謝謝😊"
Account,Lyken,2025/05/05,11:57:27,周邊都有，可以現場辦理入住時洽詢櫃檯人員喔！
User,Savie,2025/05/05,20:17:56,貼圖已傳送
User,Savie,2025/06/05,11:23:20,你好
User,Savie,2025/06/05,11:24:57,"你好

我在Agoda訂房
雙人房訂單編號1607472329
需要免費取消、有人得新冠病毒需要隔離。



三人房訂單編號1607472330

是否可以更換成 標準四人房型，金額是2843元，兩張特大雙人床，謝謝

原本三人房2118元

想更換成 標準四人房 2843元

是需要補錢還是重新預訂呢？
謝謝

麻煩回覆謝謝😊"
Account,Unknown,2025/06/05,11:24:57,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,Savie,2025/06/05,11:25:16,照片已傳送
User,Savie,2025/06/05,11:25:38,"這是今天早上看診資訊
得新冠病毒需要隔離一個禮拜"
User,Savie,2025/06/05,11:26:01,因此需要取消一間雙人房訂房
Account,Unknown,2025/06/05,11:26:01,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,Savie,2025/06/05,11:36:25,你好👋🏻麻煩回覆謝謝
User,Savie,2025/06/05,11:45:48,"0933668735洪小姐
急"
Account,Lyken,2025/06/05,11:55:57,有都到agoda告知並同意修改訂單了
User,Savie,2025/06/05,12:01:10,"請問雙人房可以免費取消嗎？
謝謝🙏🏻拜託"
Account,Lyken,2025/06/05,12:30:08,有告知agoda可以了
User,Savie,2025/06/05,13:14:09,會退款至信用卡嗎
Account,Lyken,2025/06/05,13:15:10,款項不是我們這裡收取的，要洽詢agoda喔
User,Savie,2025/06/05,13:28:07,如果不能免費取消就原定
User,Savie,2025/06/05,13:28:23,他們說要你們認可才可以免費取消
Account,Lyken,2025/06/05,13:30:29,有告知agoda講好了
Account,Lyken,2025/06/05,13:30:58,怎麼他們又打來
Account,Lyken,2025/06/05,13:31:53,這時候agoda打來就有告知他們同意了，雙人房免費取消，三人房改成四人房的價位，更換成四人房
User,Savie,2025/06/05,14:20:47,四人房要加一萬多太誇張了🤣
User,Savie,2025/06/05,14:20:57,原訂三人就好
User,Savie,2025/06/05,14:21:21,Agoda四人也2843
User,Savie,2025/06/05,14:21:32,跟三人房差725
Account,Lyken,2025/06/05,14:21:40,agoda不知道在搞什麼，
User,Savie,2025/06/05,14:21:42,要補1萬多
Account,Lyken,2025/06/05,14:21:46,他們抓不到價錢
User,Savie,2025/06/05,14:21:49,怎麼可能補
User,Savie,2025/06/05,14:21:53,蠻扯的
User,Savie,2025/06/05,14:22:02,這樣我現在是什麼房
Account,Lyken,2025/06/05,14:22:04,正常還有折扣下來
Account,Lyken,2025/06/05,14:22:13,他們沒有算給你
User,Savie,2025/06/05,14:22:21,對還打兩通
Account,Lyken,2025/06/05,14:22:28,還是我們現場再更換？
Account,Lyken,2025/06/05,14:22:37,現場補給我們就好
User,Savie,2025/06/05,14:22:40,"沒有
他們說算起來要補1萬多"
Account,Lyken,2025/06/05,14:22:44,四人房應該還夠
User,Savie,2025/06/05,14:22:49,現場補多少
User,Savie,2025/06/05,14:23:16,標準四人房兩張特大床 房型
Account,Lyken,2025/06/05,14:23:21,８．９百
Account,Lyken,2025/06/05,14:23:25,應該是這樣
User,Savie,2025/06/05,14:23:27,好
User,Savie,2025/06/05,14:23:38,現場補
Account,Lyken,2025/06/05,14:23:48,這個部分我們問管理部
User,Savie,2025/06/05,14:23:56,好👌🏻謝謝
User,Savie,2025/06/05,14:24:22,如果要補太多就照原定三人房謝謝
User,Savie,2025/06/05,14:25:54,我們跟朋友一起訂的一次6間
User,Savie,2025/06/05,14:26:49,希望可以加價變四人
User,Savie,2025/06/05,14:27:39,"2大2小因
小朋友一個7Y一個6Y"
Account,Lyken,2025/06/05,14:30:04,明天給您答覆需補多少
User,Savie,2025/06/05,14:30:44,謝謝
Account,Lyken,2025/06/07,11:40:35,如果更換四人房加價８５０
Account,Lyken,2025/06/07,11:40:48,有需要的話，現場再跟我們告知
