帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,羽溱✰࿐ོ12/30,2024/11/11,22:56:55,照片已傳送
User,羽溱✰࿐ོ12/30,2024/11/11,22:57:11,請問候補是不一定會有嗎
Account,Lyken,2024/11/11,23:02:50,一定沒有
Account,Lyken,2024/11/11,23:03:07,您需要預定的房型已經預訂滿了
User,羽溱✰࿐ོ12/30,2024/11/11,23:03:26,全部都沒有了是嗎
User,羽溱✰࿐ོ12/30,2024/11/11,23:03:56,那現在到底有什麼房型可以訂嗎
User,羽溱✰࿐ོ12/30,2024/11/11,23:12:31,請問有嗎
Account,Lyken,2024/11/12,01:31:07,不是候補的房型都還有喔
User,羽溱✰࿐ོ12/30,2024/11/12,07:03:33,了解
User,羽溱✰࿐ོ12/30,2024/11/12,08:33:42,請問現場提供刷卡嗎
User,羽溱✰࿐ོ12/30,2024/11/12,08:33:53,照片已傳送
Account,Lyken,2024/11/12,09:14:32,現場可以刷卡喔
User,羽溱✰࿐ོ12/30,2024/11/12,09:15:00,好 謝謝
User,羽溱✰࿐ོ12/30,2024/11/13,17:59:52,我想問一下，如果那天颱風天是否可以退
User,羽溱✰࿐ོ12/30,2024/11/13,18:00:56,退多少
Account,Lyken,2024/11/13,18:02:15,"若入住日期當天，經中央氣象局發佈""陸上""颱風警報 (包括出發地及目的地)，已付訂金可選擇延期(三個月內使用)或退費(需收取手續費)。"
User,羽溱✰࿐ོ12/30,2024/11/13,18:07:31,手續費多少
Account,Lyken,2024/11/13,18:12:02,10%
User,羽溱✰࿐ོ12/30,2024/11/13,20:06:13,了解
Account,Lyken,2024/11/16,11:35:39,您好
Account,Lyken,2024/11/16,11:36:25,目前旅棧所在地無雨有微風，請問有如期入住嗎？
User,羽溱✰࿐ོ12/30,2024/11/16,11:37:20,會喔
User,羽溱✰࿐ོ12/30,2024/11/16,11:37:52,但有一個要退。 變三間房
