帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/19,19:09:03,"秀慧🌟Sandy🌟感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/05/19,19:09:03,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/05/19,19:09:03,貼圖已傳送
Account,自動回應訊息,2025/05/19,19:09:03,"秀慧🌟Sandy🌟您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,秀慧🌟Sandy🌟,2025/05/19,19:12:44,"麻煩確認訂房：Agoda
訂單編號:1612351683
5/23入住1晚
三人房，請提供1大床+單人床，有小孩
預訂2客早餐
謝謝
"
Account,Unknown,2025/05/19,19:12:45,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,秀慧🌟Sandy🌟,2025/05/19,19:13:02,"林秀慧
0926654192"
Account,Lyken,2025/05/19,21:24:53,已幫您登記備註，請於現場登記入住時繳交早餐費用７００元整，謝謝您
User,秀慧🌟Sandy🌟,2025/05/19,22:22:15,謝謝
User,秀慧🌟Sandy🌟,2025/05/22,15:15:19,您好，請問有床圍嗎?因為有小孩子。
Account,Lyken,2025/05/22,17:22:55,還是要幫您把雙人床靠牆，這樣比較安全
Account,Lyken,2025/05/22,17:23:17,請問小孩幾歲？
User,秀慧🌟Sandy🌟,2025/05/22,17:23:21,4歲
User,秀慧🌟Sandy🌟,2025/05/22,17:23:34,請問單人跟雙人床可以併嗎?
Account,Lyken,2025/05/22,17:23:49,可以
User,秀慧🌟Sandy🌟,2025/05/22,17:24:02,那再麻煩幫我們併一起
User,秀慧🌟Sandy🌟,2025/05/22,17:24:03,謝謝
Account,Lyken,2025/05/22,17:24:15,好的
