帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/09,19:50:27,"Maggie（澳洲）感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/03/09,19:50:27,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/03/09,19:50:27,貼圖已傳送
Account,自動回應訊息,2025/03/09,19:50:27,Maggie（澳洲）您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝
User,Maggie（澳洲）,2025/03/10,00:41:55,您好，我想請問一下，如果我2026年2月中想訂房，你們通常什麼時候開放預約呢？ 謝謝
User,Maggie（澳洲）,2025/11/08,16:25:39,您好，我想預訂明年2月12日到2月21日兩間雙人房，但是網站顯示沒有辦法預約這段時間。
Account,Lyken,2025/11/08,16:32:12,因為剛開放，蠻多人在預定的，我幫您確認一下喔
User,Maggie（澳洲）,2025/11/08,16:41:02,謝謝您😊
Account,Lyken,2025/11/08,17:16:11,麻煩再幫我試一次，剛剛第一次也沒有出現標準雙人房，後來再試一次就可以了
Account,Lyken,2025/11/08,17:16:15,有問題再麻煩告知
User,Maggie（澳洲）,2025/11/08,17:19:56,我剛再試一次 還是不行
Account,Lyken,2025/11/08,17:57:58,您重開網頁後
Account,Lyken,2025/11/08,17:58:06,不要選日期
Account,Lyken,2025/11/08,17:58:37,直接用房型的日曆瀏覽選擇日期看看
Account,Lyken,2025/11/08,18:01:13,影片已傳送
User,Maggie（澳洲）,2025/11/08,18:03:18,"謝謝您 可以進去了 
剛發現只有中文版才可以看到"
User,Maggie（澳洲）,2025/11/08,18:03:32,感謝您😊
Account,Lyken,2025/11/08,18:07:18,原來是英文版，哈哈哈
Account,Lyken,2025/11/08,18:07:24,英文的還沒有完全
User,Maggie（澳洲）,2025/11/08,18:08:18,哈哈 因為我老公是外國人 所以網頁出現都是英文版😅
User,Maggie（澳洲）,2025/11/08,18:08:41,沒有發現中文版可以看到房型 謝謝您的幫忙😁
Account,Lyken,2025/11/08,19:11:02,貼圖已傳送
User,Maggie（澳洲）,2025/11/09,06:11:08,"早安您好，非常不好意思這麼早打擾您。
我剛剛預約訂房了，我訂了兩間標準雙人房，但忘記備註兩間房都要大床。"
Account,Unknown,2025/11/09,06:11:09,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,Maggie（澳洲）,2025/11/09,06:13:10,"請問我可以在哪裡更新備注欄呢？
我的訂單編號是RMPGP250264086"
Account,龜地灣櫃檯,2025/11/10,11:24:54,好的，我們這裡幫您備注了喔
User,Maggie（澳洲）,2025/11/10,11:26:11,謝謝您
Account,龜地灣櫃檯,2025/11/10,12:35:43,你好嫂嫂》愛悉您這次訂住。請問您預計將於何時抵達我们旁室。謝謝！
Account,龜地灣櫃檯,2025/11/10,12:37:22,援歫，前一條訊次有轃字。正確的是：非常感謝您這次訂房。請問您預計何時抵達我們旁室。謝謝！
User,Maggie（澳洲）,2025/11/10,12:38:17,我們大概會在2月12日下午五點半左右到
Account,龜地灣櫃檯,2025/11/10,12:41:37,您好，感謝您的訂房。請問您預計何時抵達我們旁室？謝謝！
User,Maggie（澳洲）,2025/11/10,12:42:23,我們大概會在2026年2月12日下午五點半左右到
Account,龜地灣櫃檯,2025/11/10,12:42:49,好的，感謝您的提供，期待您的到來！
Account,龜地灣櫃檯,2025/11/10,12:43:46,非常感謝您的回覆，我們已收到您預計於2月12日下午5點左右抵達的資訊。祝您旅途愉快！
User,Maggie（澳洲）,2025/11/10,12:44:57,我們會在17：30左右到* 謝謝您😊
