帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/01,20:57:15,"偉感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/11/01,20:57:15,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2024/11/01,20:57:15,貼圖已傳送
User,偉,2024/11/01,20:58:30,請問老客戶，明日住宿，2大1小（5歲）房價是多少呢？
Account,Lyken,2024/11/01,21:04:13,"偉您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,偉,2024/11/01,21:07:10,兩小床房型是完售了嗎？
User,偉,2024/11/01,21:07:35,明天的兩人房好像都沒房了是嗎？謝謝😊
Account,Lyken,2024/11/01,21:21:21,沒有小床的房間了喔
User,偉,2024/11/01,21:35:25,那雙人房也沒了是嗎？
Account,Lyken,2024/11/01,22:27:30,還有喔
Account,Lyken,2024/11/01,22:27:35,官網可以查詢喔
User,偉,2025/02/18,20:55:15,請問3/15雙人房+三人房費用？
User,偉,2025/02/18,20:55:31,有老客戶方案
Account,Lyken,2025/02/18,21:26:17,都是優惠價
User,偉,2025/02/18,22:29:59,你是說看官網的價格是嗎？
Account,Lyken,2025/02/18,22:59:43,式的
User,偉,2025/05/01,16:42:05,請問今天有雙床的房間嗎？費用？
