帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/01,16:31:48,"盈菁感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/04/01,16:31:48,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/04/01,16:31:48,貼圖已傳送
Account,自動回應訊息,2025/04/01,16:31:48,"盈菁您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,盈菁,2025/04/01,16:33:23,請問Agoda平台上訂房有包含早餐及停車位嗎？
User,盈菁,2025/04/01,16:33:39,我需要7月4號晚上五間雙人房一間四人房
User,盈菁,2025/04/01,16:34:03,應帶小朋友單車旅行需要停兩台汽車及5台單車
Account,Lyken,2025/04/01,16:35:12,非官方網站皆不含早餐和保證停車位喔
User,盈菁,2025/04/01,16:35:37,剛剛在官網訂，也已經訂不到房間了耶
User,盈菁,2025/04/01,16:35:44,是已經沒有房間了嗎？
Account,Lyken,2025/04/01,16:36:01,目暑假目前還未開放預訂
User,盈菁,2025/04/01,16:36:11,那請問什麼時候會開始開放訂位呢？
Account,Lyken,2025/04/01,16:36:28,已經確認行程了嗎？
User,盈菁,2025/04/01,16:37:17,是的 要確認有房型跟價錢後 才能夠和團員們討論
Account,Lyken,2025/04/01,16:37:58,那開放預訂後告知您
User,盈菁,2025/04/01,16:38:28,好的 謝謝您
User,盈菁,2025/04/10,15:21:10,您好  目前確定7/4(五)需要家庭房2間  雙人房4間
User,盈菁,2025/04/10,15:21:26,請問可以報價跟訂房了嗎
Account,Lyken,2025/04/10,19:10:45,可能要接近五月才會有開放喔
User,盈菁,2025/04/10,19:13:08,"可以了解一下往年大約的報價嗎
雙人房跟四人房
需要跟團員們做個初步的估價"
Account,Lyken,2025/04/10,19:14:28,家庭房指的是？
Account,Lyken,2025/04/10,19:14:57,原則上你們直接參考官網的假日價錢，不會差太多
User,盈菁,2025/04/10,19:17:15,四人房
User,盈菁,2025/04/10,19:17:23,好的 謝謝
