帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/04,14:00:03,"Kuo Wei 韋吟感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/04/04,14:00:03,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/04/04,14:00:03,貼圖已傳送
Account,自動回應訊息,2025/04/04,14:00:03,"Kuo Wei 韋吟您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Unknown,2025/04/04,14:01:05,"你好～～～
剛才有電話預約 四人房 今天入住

郭韋吟
0983-039378"
User,Unknown,2025/04/04,14:02:49,"你好～～～
剛才有電話預約 四人房 今天入住

郭韋吟
0983-039378"
Account,Lyken,2025/04/04,14:13:45,好的收到
Account,Lyken,2025/04/04,16:35:27,以幫您保留一間四人房4480不含早餐
User,Unknown,2025/04/04,16:35:44,好的。快到了
User,Unknown,2025/04/04,16:36:47,請問有停車場嗎
User,Unknown,2025/04/04,16:37:21,剛剛到了。門口進不去
Account,Lyken,2025/04/04,16:49:24,請問有找到入口了嗎
User,Unknown,2025/04/04,20:37:08,"請問一下～
508號房，我們沒有牙刷，這裡可以購買嗎"
Account,Lyken,2025/04/04,20:38:50,後面有一間雜貨店，走路可以到
Account,Lyken,2025/04/04,20:39:07,我們館內已經沒有預備牙刷了喔，抱歉
User,Unknown,2025/04/04,20:39:20,好喔～沒關係，感謝☺️
