帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/24,22:54:38,"五月感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/03/24,22:54:38,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/03/24,22:54:38,貼圖已傳送
Account,自動回應訊息,2025/03/24,22:54:38,"五月您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,五月,2025/03/24,22:57:22,你好這是我的訂單編號：1540322676
User,五月,2025/03/24,23:00:50,我侄子在馬祖當兵，因為天氣關係所以改船班，4月2號沒有辦法回來，我們想要改為4月3號到4月5號。延後一天，一樣是住宿兩天。剛才有撥打電話和工作人員說過，他說到時候，現場有房間會留給我們，再補差價即可。
Account,Lyken,2025/03/26,10:58:51,好的，安排確認後告知
User,五月,2025/03/26,12:04:44,貼圖已傳送
Account,Lyken,2025/03/27,14:36:46,您好
Account,Lyken,2025/03/27,14:41:08,４／４當晚無剩餘同房型房間
Account,Lyken,2025/03/27,14:43:56,唯一的替代方式為，更換為無障礙四人房
Account,Lyken,2025/03/27,14:54:33,無障礙四人房，房內設施皆同一班房型，唯有浴室無乾濕分離設計。
Account,Lyken,2025/03/27,14:55:13,更改會有價差產生，如您確定要更換再告知我們進行新房價計算
Account,Lyken,2025/03/27,14:58:57,稍後一下
Account,Lyken,2025/03/27,14:59:36,有一位客人需改四人房
Account,Lyken,2025/03/27,14:59:46,等他那邊確認
Account,Lyken,2025/03/27,14:59:53,再告知您
User,五月,2025/03/27,14:59:55,明白
User,五月,2025/03/27,15:00:08,好
Account,Lyken,2025/03/27,15:23:40,我們這裡告知客人今天要給回覆，應該明天就能確認。屆時告知您結果
User,五月,2025/03/27,15:26:06,貼圖已傳送
Account,Lyken,2025/03/28,11:02:18,不好好意思
Account,Lyken,2025/03/28,11:02:37,4/4取消更改
Account,Lyken,2025/03/28,11:02:45,所以當天沒有雙人房了
Account,Lyken,2025/03/28,12:12:34,如果要更改住房日，就只有四人房了
User,五月,2025/03/28,13:53:39,要補多少錢？
User,五月,2025/03/28,13:54:46,好，可以，那就四人房
