帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/30,17:43:19,"Jolenena感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/03/30,17:43:19,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/03/30,17:43:19,貼圖已傳送
Account,自動回應訊息,2025/03/30,17:43:19,"Jolenena您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Jolenena,2025/03/30,17:46:17,您好我想問一下我們3號去墾丁電瓶車如何租借
Account,Lyken,2025/03/30,22:56:05,https://uukt.com.tw/kenting/37831
Account,Lyken,2025/03/30,22:56:34,可以跟店家聯絡一下取車方式
User,Jolenena,2025/03/31,20:42:35,這個店家說沒有電動車
User,Jolenena,2025/03/31,20:42:50,有租電動車的店嗎因為我們沒有駕照
Account,Lyken,2025/03/31,20:43:41,那你們直接在恆春轉運轉下車
Account,Lyken,2025/03/31,20:43:57,出站應該就有租車的蠻多的
User,Jolenena,2025/03/31,20:44:15,好的👌
Account,Lyken,2025/03/31,20:44:32,https://g.co/kgs/eQVvDAZ
Account,Lyken,2025/03/31,20:45:05,"https://www.google.com/maps/dir/%E9%BE%9F%E5%9C%B0%E6%B9%BE%E6%97%85%E6%A0%88+944%E5%B1%8F%E6%9D%B1%E7%B8%A3%E8%BB%8A%E5%9F%8E%E9%84%89%E9%BE%8D%E4%BA%95%E8%B7%AF1-18%E8%99%9F/946%E5%B1%8F%E4%B8%9C%E6%81%92%E6%98%A5%E9%95%87/@22.030029,120.6913565,13z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x3471b738c1eacf15:0x9a9126465ff36cf4!2m2!1d120.7266213!2d22.0565444!1m5!1m1!1s0x3471b0ce4717104b:0xfd6f5b1d38e46f1a!2m2!1d120.744842!2d22.0027?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D"
Account,Lyken,2025/03/31,20:45:29,騎車來大約１０分鐘左右
User,Jolenena,2025/03/31,20:45:48,好的謝謝
