帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/11,12:45:22,"柏賢,小柏玩樂感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/03/11,12:45:22,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/03/11,12:45:22,貼圖已傳送
Account,自動回應訊息,2025/03/11,12:45:22,"柏賢,小柏玩樂您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝"
User,"柏賢,小柏玩樂",2025/03/11,12:45:24,哈囉
User,"柏賢,小柏玩樂",2025/03/11,12:45:30,我是明天有訂房
User,"柏賢,小柏玩樂",2025/03/11,12:45:46,照片已傳送
User,"柏賢,小柏玩樂",2025/03/11,12:47:11,我是九人座司機。我客人家裡有事。必須取消。想說看你們可以通融一下嗎
User,"柏賢,小柏玩樂",2025/03/11,13:01:23,或者看看可不可以罰少一點
User,"柏賢,小柏玩樂",2025/03/11,13:16:00,我過兩天有墾丁的車趟要跑。明天我自己可以提前一天下去睡一間。其他三間看怎麼用。
User,"柏賢,小柏玩樂",2025/03/11,18:32:02,哈囉 不知道可以嗎
Account,Lyken,2025/03/12,02:09:15,非常抱歉您遇到這樣的情況。根據agoda取消政策，這個預訂是無法全額退款的。不過，我們可以免費提供改期。希望能為您提供一些幫助。
User,"柏賢,小柏玩樂",2025/03/12,06:29:54,好的 改期
User,"柏賢,小柏玩樂",2025/03/12,09:09:49,但我今天會先住一間。三間改期
Account,Lyken,2025/03/12,09:12:21,好的，但是改期需要是同樣平日，需提前詢問是否有房。不能更換假日或連續假期！
User,"柏賢,小柏玩樂",2025/03/12,09:12:31,當然
Account,Lyken,2025/03/12,09:12:43,今天有估計抵達的時間嗎？
User,"柏賢,小柏玩樂",2025/03/12,15:14:43,我猜晚上
Account,Lyken,2025/03/12,15:19:40,猜？不懂您的意思？
User,"柏賢,小柏玩樂",2025/03/12,15:36:17,預計啦 晚上八九點
