帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/13,11:04:39,"#其👑感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/02/13,11:04:39,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/02/13,11:04:39,貼圖已傳送
User,#其其👑,2025/02/13,11:09:50,"您好,我昨天在agoda 預訂了二間房間,一間4人房,一間2人房,麻煩您幫我確認一下,謝謝
CHEN CHI-LING"
Account,Lyken,2025/02/13,15:44:33,請提供訂單編號和入住日期
User,#其其👑,2025/02/13,15:45:35,"訂單編號為1532721596
CHEN.CHI-LING CHEN.CHI-LING
3/8到3/10"
User,#其其👑,2025/02/13,15:46:29,"訂單編號為1532690008
CHEN.CHI-LING CHEN.CHI-LING
3/8到3/10"
User,#其其👑,2025/02/13,15:47:53,"想請問您是否都有陽台,因為是一起出遊,2個房間可以幫我們安排近一點嗎?還有離飲水機近一點,感謝您(smile)(smile)"
Account,Lyken,2025/02/13,15:50:48,盡量幫您安排，我們是以官方網站訂房優先安排的
User,#其其👑,2025/02/13,15:58:18,"麻煩您了,感謝您(smile)(smile)"
User,#其其👑,2025/03/04,16:19:39,"您好,我3/8和3/9訂了二間房,一間4人房,一間2人房,想和您確認一下,謝謝(pleading Moon)(pleading Moon)"
Account,Lyken,2025/03/06,20:18:14,yen您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝
