帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/01,12:46:02,"BEAR謝佳炸感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/03/01,12:46:02,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/03/01,12:46:02,貼圖已傳送
Account,自動回應訊息,2025/03/01,12:46:02,BEAR謝佳炸您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝
User,BEAR謝佳炸,2025/03/01,12:46:14,"您好
我是昨晚216的房客
"
User,BEAR謝佳炸,2025/03/01,12:46:30,請問有收到一台黑色保護殼的ipad嗎
Account,Lyken,2025/03/01,12:47:53,防務人員正在查看，稍後回覆您
User,BEAR謝佳炸,2025/03/01,12:49:03,謝謝
Account,Lyken,2025/03/01,12:52:00,沒有看到喔
User,BEAR謝佳炸,2025/03/01,12:52:51,冰箱上面也沒有嗎？
User,BEAR謝佳炸,2025/03/01,12:53:02,我印象是放在那上面
Account,Lyken,2025/03/01,12:53:15,我詢問一下
User,BEAR謝佳炸,2025/03/01,12:53:36,黑色保護殼 比較不明顯
Account,Lyken,2025/03/01,12:59:40,沒有喔
User,BEAR謝佳炸,2025/03/01,13:13:13,好的 謝謝 我再找找其他地方
User,BEAR謝佳炸,2025/03/01,13:13:15,感謝
