帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/18,22:38:45,"coco感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/02/18,22:38:45,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/02/18,22:38:45,貼圖已傳送
Account,自動回應訊息,2025/02/18,22:38:45,coco您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝
User,coco,2025/02/18,23:08:56,照片已傳送
User,coco,2025/02/18,23:09:33,請問我3/5號有訂房一晚，訂單編號1539333408
User,coco,2025/02/18,23:09:51,請問訂房有成功嗎？
User,coco,2025/02/18,23:10:54,錢已在APP網站付款完成
User,coco,2025/02/18,23:35:04,照片已傳送
User,coco,2025/02/18,23:36:14,請問我3/5-3/7號有訂房二晚，訂單編號1540447340
User,coco,2025/02/18,23:36:41,請問訂房有成功嗎？
User,coco,2025/02/18,23:36:56,錢已在APP網站付款完成
Account,Lyken,2025/02/21,13:26:00,一間雙人房2晚不含早餐，已收到您的訂單
User,coco,2025/02/21,16:02:29,請問我3/5號有訂房一晚，訂單編號1539333408
User,coco,2025/02/21,16:02:30,照片已傳送
User,coco,2025/02/21,16:02:52,3/5號還有訂一晚
User,coco,2025/02/21,16:03:00,我訂兩間房
User,coco,2025/02/21,16:03:21,一間一晚一間兩晚都有收到訂房嗎
Account,Lyken,2025/02/22,10:02:48,有收到您的預訂喔！
User,coco,2025/02/22,10:49:07,貼圖已傳送
