帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/20,09:14:06,"啊順感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/02/20,09:14:06,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/02/20,09:14:06,貼圖已傳送
Account,自動回應訊息,2025/02/20,09:14:06,啊順您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，訂房相關事項，將於工作時間回覆您。謝謝
User,啊順,2025/02/20,09:15:07,3月1日晚上一間三人房 跟一間雙人房 都單小床的房間有嗎？
Account,Lyken,2025/02/20,09:16:32,有的，官網預訂優先會幫您安排，預定備注記得幫我們填寫需求喔
User,啊順,2025/02/20,09:22:19,訂房網比官網便宜？
Account,Lyken,2025/02/20,09:25:43,非本旅棧官網預訂平台均有優惠差異，請自行詳讀預訂平台內容。
User,啊順,2025/02/20,09:26:23,我官網訂購好了 騎重機 需要停車位
Account,Lyken,2025/02/20,09:27:45,好的
User,啊順,2025/02/20,09:38:10,官網單床雙人房 顯示候補是沒了嗎？
Account,Lyken,2025/02/20,09:39:12,是的
Account,Lyken,2025/02/20,09:40:10,您是雙人房也要兩單床嗎？
User,啊順,2025/02/20,09:40:19,是
Account,Lyken,2025/02/20,09:41:13,請稍候，後幫您確認一下
User,啊順,2025/02/20,09:41:39,照片已傳送
User,啊順,2025/02/20,09:41:57,我訂好了 你在幫我確定都單人床
User,啊順,2025/02/20,09:42:18,有的話我就轉帳
Account,Lyken,2025/02/20,09:50:08,經典雙人房沒有單床喔
Account,Lyken,2025/02/20,09:50:34,還是幫您更改標準雙人房
User,啊順,2025/02/20,09:50:38,好
User,啊順,2025/02/20,09:50:54,有單人床就行
Account,Lyken,2025/02/20,09:51:01,好的
User,啊順,2025/02/20,09:51:13,價位一樣？
Account,Lyken,2025/02/20,09:51:20,是的
Account,Lyken,2025/02/20,09:51:41,還有一間無障礙雙人房
Account,Lyken,2025/02/20,09:51:54,這兩個選擇
User,啊順,2025/02/20,09:52:03,價格都一樣嗎
Account,Lyken,2025/02/20,09:52:09,對
User,啊順,2025/02/20,09:52:13,我看看圖片
Account,Lyken,2025/02/20,09:52:43,官網上的高齡友善
Account,Lyken,2025/02/20,09:52:46,就是
User,啊順,2025/02/20,09:53:06,算了 用標準的
Account,Lyken,2025/02/20,09:53:43,其實以裝潢來說，高齡友善的比較好喔
User,啊順,2025/02/20,09:53:57,那用高齡
Account,Lyken,2025/02/20,09:53:58,只是他的浴室有差異而已
Account,Lyken,2025/02/20,09:54:13,沒有乾濕分離
Account,Lyken,2025/02/20,09:54:24,樓層也比較高
User,啊順,2025/02/20,09:54:56,跟三人房有靠近的是哪間
Account,Lyken,2025/02/20,09:55:11,都沒有靠近
Account,Lyken,2025/02/20,09:55:50,和三人房同樓層的只有4人房
User,啊順,2025/02/20,09:57:07,照片已傳送
User,啊順,2025/02/20,09:59:06,用這個吧
User,啊順,2025/02/20,09:59:44,有海景嗎
Account,Lyken,2025/02/20,09:59:53,系統自動對帳核銷，在麻煩注意您預定時的mail
User,啊順,2025/02/20,10:00:03,好
Account,Lyken,2025/02/20,10:00:11,海景房才有遠眺海景
Account,Lyken,2025/02/20,10:00:48,雙人房就幫您安排無障礙雙人房了
User,啊順,2025/02/20,10:01:02,好吧
Account,Lyken,2025/02/20,10:04:25,貼圖已傳送
