帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,淨文chingwen2/10-2/12,2024/01/02,22:42:18,照片已傳送
Account,AI自動回應訊息,2024/01/02,22:42:19,"淨文chingwenSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,淨文chingwen2/10-2/12,2024/01/02,22:43:25,您好～～我剛才有致電詢問嬰兒床，怕沒有嬰兒床，所以我預定了四人房
Account,AI自動回應訊息,2024/01/02,22:43:26,"淨文chingwen歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/01/02,22:43:26,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,淨文chingwen2/10-2/12,2024/01/02,22:43:51,1109426536
Account,AI自動回應訊息,2024/01/02,22:43:52,"淨文chingwen歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/01/02,22:43:52,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,淨文chingwen2/10-2/12,2024/02/10,16:40:11,您好～～～
Account,AI自動回應訊息,2024/02/10,16:40:11,"淨文chingwen歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
