帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/05,12:27:49,"雅雅感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/05,12:27:49,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/05,12:27:49,貼圖已傳送
User,雅雅,2025/02/11,21:50:21,您好～我3/8有訂房～我是馮小姐～我其中一間房要2小床喔！謝謝
User,雅雅,2025/02/11,21:52:44,我總共訂2房～我ㄧ間要2張床喔
User,雅雅,2025/02/11,21:52:51,謝謝你
Account,Lyken,2025/02/11,23:19:18,請提供訂單編號
User,雅雅,2025/02/11,23:21:29,照片已傳送
Account,Lyken,2025/02/13,15:56:36,已幫您安排
User,雅雅,2025/02/13,15:57:14,謝謝
