帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/06,14:50:44,"vera感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/02/06,14:50:44,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/02/06,14:50:44,貼圖已傳送
User,vera,2025/02/06,14:54:47,你好~想請問標準4人房的官網優惠價格
Account,Lyken,2025/02/06,15:12:43,"vera您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,vera,2025/02/07,14:14:49,嗨~我是以agoda訂房的，是否需要先給您訂單號碼呢? 還是入住當天辦理登記就可以了嗎?
Account,Lyken,2025/02/07,14:15:31,可以先給
User,vera,2025/02/07,14:23:26,訂單編號 1525284740
User,vera,2025/02/07,14:23:48,入住2/28，退房3/1
User,vera,2025/02/07,14:26:05,訂的是標準四人房-禁菸房，兩位大人+兩位兒童
User,vera,2025/02/07,16:04:09,這樣就ok了嗎?
User,vera,2025/02/10,13:31:15,"星期六有致電詢問，得知訂房組會於上班時段再確認。
請問這樣訂單是確認了嗎～還請您回覆喔！謝謝"
Account,Lyken,2025/02/10,13:32:06,有問題他們會告知喔
User,vera,2025/02/10,13:36:20,好的
User,vera,2025/02/10,13:36:31,謝謝您
