帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/01/28,12:13:05,"Bonnie～小慈感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/01/28,12:13:05,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/01/28,12:13:05,貼圖已傳送
User,Bonnie～小慈,2025/01/28,12:14:24,您好，1/30 初二有看到3人房3680有附早餐嗎？
User,Bonnie～小慈,2025/01/28,12:14:27,照片已傳送
Account,Lyken,2025/01/28,18:24:59,有的，官網預定都有含早餐
User,Bonnie～小慈,2025/01/28,18:26:24,謝謝你 已預定
User,Bonnie～小慈,2025/01/28,19:46:20,照片已傳送
User,Bonnie～小慈,2025/01/28,19:46:50,您好，請問是否有嬰兒床可提供嗎？
Account,Lyken,2025/01/28,20:08:43,有的
Account,Lyken,2025/01/28,20:08:49,麻煩提供訂單編號
User,Bonnie～小慈,2025/01/28,20:09:43,RMPGP250018589
Account,Lyken,2025/01/28,20:10:35,您有預訂三間房間
User,Bonnie～小慈,2025/01/28,20:10:45,是的
Account,Lyken,2025/01/28,20:10:50,請問嬰兒床是要放置哪一間?
User,Bonnie～小慈,2025/01/28,20:11:01,其中一間雙人房需要放置嬰兒床
User,Bonnie～小慈,2025/01/28,20:11:15,澡盆也需要
Account,Lyken,2025/01/28,20:11:29,好的
User,Bonnie～小慈,2025/01/28,20:11:36,非常感謝
User,Bonnie～小慈,2025/01/31,11:32:53,您好，續住的506跟509房卡忘了繳交，但已出門了，只好下午再麻煩你們，很抱歉
Account,Lyken,2025/01/31,11:36:34,好的，沒問題
Account,Lyken,2025/01/31,13:29:54,你們續住的房間我們房務進去清潔一下垃圾喔
User,Bonnie～小慈,2025/01/31,13:30:10,好的時候
User,Bonnie～小慈,2025/01/31,13:30:13,好
