帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/01/06,21:56:56,"鋰豬嶬感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/01/06,21:56:56,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/01/06,21:56:56,貼圖已傳送
User,鋰豬嶬,2025/01/06,21:57:00,(scream)
User,鋰豬嶬,2025/01/06,21:57:08,老闆
User,鋰豬嶬,2025/01/06,21:57:13,打給你的四人房
User,鋰豬嶬,2025/01/06,21:57:16,一間
User,鋰豬嶬,2025/01/06,21:57:17,謝謝
User,鋰豬嶬,2025/01/06,21:58:06,想看一下房型
User,鋰豬嶬,2025/01/06,21:58:16,想要簡單木頭地板的
User,鋰豬嶬,2025/01/06,21:58:18,謝謝
Account,Lyken,2025/01/06,22:30:52,你好
Account,Lyken,2025/01/06,22:30:57,我們沒有木頭地板
Account,Lyken,2025/01/06,22:31:20,都是磁磚木頭紋路
User,鋰豬嶬,2025/01/06,22:31:22,喔喔👌磁磚
User,鋰豬嶬,2025/01/06,22:31:23,好
Account,Lyken,2025/01/06,22:31:33,"鋰豬嶬您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2025/01/06,22:31:49,官網訂房內有圖可以參考喔
User,鋰豬嶬,2025/01/06,22:32:02,標準雙人房
User,鋰豬嶬,2025/01/06,22:32:08,也有對外窗對嗎
Account,Lyken,2025/01/06,22:32:44,全部都有大面落地窗
User,鋰豬嶬,2025/01/06,22:36:44,剛剛已經付款
User,鋰豬嶬,2025/01/06,22:36:46,李芝儀
User,鋰豬嶬,2025/01/06,22:36:49,有收到嗎
User,鋰豬嶬,2025/01/06,22:37:42,房間可以幫忙安排在一起嗎
User,鋰豬嶬,2025/01/06,22:38:00,另外隔天要去阿朗一會提早出門再幫忙打包早餐 謝謝
User,鋰豬嶬,2025/01/06,22:38:02,(warm heart)
Account,Lyken,2025/01/06,23:57:16,麻煩提供訂單編號喔
User,鋰豬嶬,2025/01/07,00:02:52,RMPGP250004621
User,鋰豬嶬,2025/01/07,23:15:02,我是訂1/30對嗎
Account,Lyken,2025/01/11,13:23:13,好的，我們現場辦理入住時會再跟您確認早餐狀況
User,鋰豬嶬,2025/01/30,09:06:06,老闆您好 我們怕塞車一早凌晨4:00就出發 如果提早中午左右抵達的話 方便提早checkin 睡覺嗎 謝謝🙏
Account,Lyken,2025/01/30,10:33:40,有大概想入住的時間嗎?
User,鋰豬嶬,2025/01/30,10:34:22,我們其實已經到了🤣 但現在應該太早對不對 太早的話12:00多之類的方便嗎
User,鋰豬嶬,2025/01/30,10:34:41,或是看老闆你方便的時間沒關係 謝謝
Account,Lyken,2025/01/30,10:35:19,那下午1點可以入住
User,鋰豬嶬,2025/01/30,10:35:23,好的ok
User,鋰豬嶬,2025/01/30,10:35:26,謝謝
Account,Lyken,2025/01/30,10:35:38,那個時間房間應該好了
User,鋰豬嶬,2025/01/30,10:36:43,好的沒問題謝謝老闆
Account,Lyken,2025/01/30,10:37:18,貼圖已傳送
