帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/01/28,16:29:49,"純感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/01/28,16:29:49,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/01/28,16:29:49,貼圖已傳送
User,純,2025/01/28,16:29:55,你好
User,純,2025/01/28,16:30:02,我今晚有預定一間房間
User,純,2025/01/28,16:30:19,請問最晚是幾點check in
Account,Lyken,2025/01/28,18:24:41,晚上11點唷
User,純,2025/01/28,18:42:03,好的
User,純,2025/01/28,18:42:12,請問房間有提供牙刷浴巾嗎
Account,Lyken,2025/01/28,19:00:17,浴巾有提供
Account,Lyken,2025/01/28,19:01:08,其餘次一次性用品政府已明文規定旅宿業不得提供
User,純,2025/01/28,19:06:03,嗯
User,純,2025/01/28,19:06:07,好
User,純,2025/01/28,19:06:31,請問有販售嗎
Account,Lyken,2025/01/28,20:13:04,建議您可以於前往的路途上7-11購買
Account,Lyken,2025/01/28,20:13:09,現場無販售
User,純,2025/01/28,20:34:13,好
User,純,2025/01/28,20:34:15,了解
Account,Lyken,2025/01/29,00:00:18,您好
