帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/12/10,13:42:30,"有礙有愛-大叔感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/12/10,13:42:30,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2024/12/10,13:42:30,貼圖已傳送
User,有礙有愛-大叔,2024/12/11,16:16:43,照片已傳送
User,有礙有愛-大叔,2024/12/11,16:17:33,麻煩了，怕一路去了出狀況
User,有礙有愛-大叔,2024/12/11,16:29:24,訂房名字：王華舘
Account,May  Lee,2024/12/11,16:30:50,您好：已收到您預訂的12/14標準雙人房一間，期待光臨。
User,有礙有愛-大叔,2024/12/11,16:31:32,謝謝
User,有礙有愛-大叔,2024/12/21,21:01:33,照片已傳送
User,有礙有愛-大叔,2024/12/21,21:05:54,預訂的兩人房，我要兩張床的，三人房的，就一大一小或者是三張床的，謝謝
User,有礙有愛-大叔,2024/12/21,21:07:22,當天會有兩台車入住
User,有礙有愛-大叔,2024/12/21,21:07:34,如不暸解，我訂房資訊有留電話，再與我聯絡，謝謝。
Account,Lyken,2024/12/21,22:21:42,已幫您安排完成!
User,有礙有愛-大叔,2024/12/21,22:22:34,謝謝
