帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/12/04,17:44:49,"Kelly感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/12/04,17:44:49,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2024/12/04,17:44:49,貼圖已傳送
User,聖淳,2024/12/04,17:44:55,貼圖已傳送
User,聖淳,2024/12/04,17:45:30,照片已傳送
User,聖淳,2024/12/04,17:46:01,我昨天有預訂付款了，請問你們有收到訂單了嗎？
User,聖淳,2024/12/04,17:46:06,請問最晚入住時間是幾點
User,聖淳,2024/12/04,17:46:12,謝謝
Account,Lyken,2024/12/04,22:50:26,71588
Account,Lyken,2024/12/04,22:50:59,最晚入住時間為晚上11點以前喔
Account,Lyken,2024/12/04,22:51:21,請問預計幾點會抵達？
Account,Lyken,2024/12/04,22:51:32,所需求的床型？
User,聖淳,2024/12/04,23:29:52,還不太確定，最晚在晚上11點前入住
User,聖淳,2024/12/04,23:30:40,如果可以，可免費換成2張單人床同一間
User,聖淳,2024/12/04,23:30:48,嗎？
Account,Lyken,2024/12/04,23:31:17,直接幫您安排兩張單人床喔
User,聖淳,2024/12/04,23:31:57,我們是開車，那邊有免費停車區嗎
Account,Lyken,2024/12/04,23:32:12,有
User,聖淳,2024/12/04,23:32:31,感謝🙏
User,聖淳,2024/12/06,09:27:36,211房卡已放在櫃檯桌上，謝謝🙏房間很舒適整潔，睡的很好☺️
User,聖淳,2024/12/06,09:27:44,貼圖已傳送
Account,Lyken,2024/12/06,09:28:16,好的，謝謝
Account,Lyken,2024/12/06,09:28:24,歡迎下次再入住
User,聖淳,2024/12/06,12:04:05,貼圖已傳送
