帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,金昌遊覽公司-廖金映11/11,2024/07/20,18:33:14,請問11/9晚上有雙人房(2小床)*10間+1間司領房（3床）嗎？
User,金昌遊覽公司-廖金映11/11,2024/07/20,18:34:21,要申請阿塱壹的名額，11/10早上6點吃早餐，約6:50就要出發了可以嗎？謝謝您
Account,Lyken,2024/07/20,19:51:54,稍後幫您確認喔
User,金昌遊覽公司-廖金映11/11,2024/07/20,20:38:22,好的，謝謝您
Account,Lyken,2024/07/22,11:14:35,已和廚房確認過
Account,Lyken,2024/07/22,11:14:48,可以用餐盒的方式讓您外帶
Account,Lyken,2024/07/22,11:14:59,房間都還足夠
Account,Lyken,2024/07/22,11:15:09,請問有確認預訂了嗎?
User,金昌遊覽公司-廖金映11/11,2024/07/22,14:02:16,請稍等一下，日期有更動，謝謝您
User,金昌遊覽公司-廖金映11/11,2024/07/22,15:13:44,客人改11/16住，可以嗎?
Account,Lyken,2024/07/22,15:14:22,可以喔
Account,Lyken,2024/07/22,15:14:35,有確定就可以了
User,金昌遊覽公司-廖金映11/11,2024/07/22,15:19:16,好的，我最慢下星期一跟您回覆好嗎?
User,金昌遊覽公司-廖金映11/11,2024/07/22,20:08:58,可以報價給我嗎
User,金昌遊覽公司-廖金映11/11,2024/07/22,20:09:35,日期是11/16
User,金昌遊覽公司-廖金映11/11,2024/09/02,18:39:50,請問11/2晚上有雙人房(2小床)*11間+1間司領房（3床）嗎？
Account,Lyken,2024/09/02,18:50:52,有的
User,金昌遊覽公司-廖金映11/11,2024/09/02,18:51:30,一樣是2880元嗎?
Account,Lyken,2024/09/02,18:52:38,是的
User,金昌遊覽公司-廖金映11/11,2024/09/02,19:13:28,好的，有確定後再匯訂金喔！
Account,Lyken,2024/09/02,22:18:23,好的
User,金昌遊覽公司-廖金映11/11,2024/09/02,23:03:16,貼圖已傳送
User,金昌遊覽公司-廖金映11/11,2024/09/04,18:38:04,"您好，請給我帳號，我要匯11/2的訂金
11/2晚上有雙人房(2小床)*11間+1間司領房（3床)"
User,金昌遊覽公司-廖金映11/11,2024/09/04,18:38:24,請問附近有比較好的餐廳嗎?
Account,Lyken,2024/09/04,18:38:55,田中漁夫
User,金昌遊覽公司-廖金映11/11,2024/09/04,18:39:20,好的，我搜尋一下
User,金昌遊覽公司-廖金映11/11,2024/09/04,18:46:21,有別家嗎?店休到9月底
Account,Lyken,2024/09/04,18:47:00,熊家豬腳和大山羊肉爐
User,金昌遊覽公司-廖金映11/11,2024/09/04,19:01:14,請問我們11/3早上6點10分出發到旭海，早餐會是甚麼呢
Account,Lyken,2024/09/04,20:57:40,早餐部分我們餐廳確認後告知
Account,Lyken,2024/09/04,20:58:10,明天給您完整訂單和匯款帳戶
User,金昌遊覽公司-廖金映11/11,2024/09/04,21:23:19,好的，謝謝您
User,金昌遊覽公司-廖金映11/11,2024/09/06,20:12:14,請問確認好了嗎?
Account,Lyken,2024/09/06,20:13:42,有吿知餐廳了，他等他們確認喔
Account,Lyken,2024/09/06,20:14:17,明天應該會有答案，明天訂購單一起回覆您喔
User,金昌遊覽公司-廖金映11/11,2024/09/06,20:21:43,好的，我星期一後才能轉帳喔，因為這幾天帶團，謝謝您
Account,Lyken,2024/09/06,20:23:05,好的
User,金昌遊覽公司-廖金映11/11,2024/09/09,20:31:50,"您好，請問這個有回覆了嗎?
房型改:
雙人房(2小床)*10間+雙人房(3小床)*1間+1間司領房（3床)"
