帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/11,00:21:10,"昕俞〔旗山〕JCT教會-飛揚協會感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/11/11,00:21:10,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2024/11/11,00:21:10,貼圖已傳送
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:02:26,您好
Account,Lyken,2024/11/11,11:02:53,你好
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:03:14,請問無限網路的秘密是？
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:03:35,另外可以加一件被子嗎？
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:03:38,509
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:03:44,謝謝您
Account,Lyken,2024/11/11,11:03:55,密碼088822161
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:04:03,謝謝您
Account,Lyken,2024/11/11,11:05:19,多加被子會多收100清潔費噢
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:05:39,沒有問題
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:05:51,再麻煩您唷～
Account,Lyken,2024/11/11,11:05:52,好的，稍後幫您送去
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:06:01,感謝您
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,11:19:13,100元有給服務人員囉！謝謝
User,昕俞〔旗山〕JCT教會-飛揚協會,2024/11/11,12:48:45,密碼連不上
Account,Lyken,2024/11/11,12:49:15,"別的樓層房號試試
密碼都是一樣的"
