帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/09/22,16:17:08,"創竣感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/09/22,16:17:08,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/09/22,16:17:08,貼圖已傳送
User,創竣,2024/09/22,16:17:30,請問 發票可以打統編嗎？
Account,Lyken,2024/09/22,16:18:11,可以的
User,創竣,2024/09/22,16:19:42,有附當天入住晚餐嗎
Account,Lyken,2024/09/22,16:20:38,晚餐可以加購
User,創竣,2024/09/22,16:21:07,加購的話 費用多少？
Account,Lyken,2024/09/22,16:21:31,先現場有餐點可以選購
User,創竣,2024/09/22,16:22:08,好的
User,創竣,2024/09/22,16:27:30,"如果要訂標準4人房，床的部分 該如何備註？ 
我看訂購官網有分很多種"
User,創竣,2024/09/22,16:53:45,還是備註即可呢？
Account,Lyken,2024/09/22,17:38:42,官網預訂時就可以直接填寫備註了喔
User,創竣,2024/09/22,17:50:36,好的
Account,Lyken,2024/09/22,18:00:39,貼圖已傳送
User,創竣,2024/10/24,09:43:19,請問 你們有飲水機可以裝熱水嗎
Account,大美,2024/10/24,09:44:09,有 ，在一樓餐廳，進去右手邊
Account,大美,2024/10/24,09:44:25,抱歉 左手邊 打錯
User,創竣,2024/10/24,09:50:22,好的
User,創竣,2024/11/09,15:50:59,"抬頭：東佑達自動化科技股份有限公司職工福利委員會

統編：81375745"
Account,大美,2024/11/09,16:40:12,你好冒昧打擾，剛看到您來此是要去海生館，若有要帶大小朋友們前往遊玩，現在海生館有「永浴愛鵝（企鵝活動） 以下官網可供參考
Account,大美,2024/11/09,16:40:18,https://aquarium.com.tw/event.asp?ID=465
User,創竣,2024/11/09,16:48:02,好喔 謝謝
Account,大美,2024/11/09,17:22:39,貼圖已傳送
