帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/20,15:03:00,"依玟🎀感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/07/20,15:03:00,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/07/20,15:03:00,貼圖已傳送
User,依玟🎀,2024/07/20,15:10:53,您好我剛剛有官網訂購
User,依玟🎀,2024/07/20,15:10:59,忘記備註要一大床
User,依玟🎀,2024/07/20,15:11:02,照片已傳送
Account,Lyken,2024/07/20,15:53:47,請問預計幾點會抵達？
User,依玟🎀,2024/07/20,16:51:21,目前還沒確定
User,依玟🎀,2024/07/20,16:51:29,請問最晚要什麼時間呢
Account,Lyken,2024/07/20,19:52:12,11點前
Account,Lyken,2024/07/20,19:52:15,晚上
User,依玟🎀,2024/07/20,19:52:29,好的
User,依玟🎀,2024/07/20,21:44:21,"請問有接駁可以搭乘 或是要怎麼過去比較方便呢
我們從北部過去"
User,依玟🎀,2024/07/20,22:20:57,不好意思 我發現我好像聽過錯了
User,依玟🎀,2024/07/20,22:21:03,訂錯了
User,依玟🎀,2024/07/20,22:22:17,我應該要訂10/27
User,依玟🎀,2024/07/20,22:22:29,27-29
User,依玟🎀,2024/07/20,22:22:40,剛剛有撥電話過去詢問
User,依玟🎀,2024/07/20,22:22:51,請問要退掉重新定嗎
Account,Lyken,2024/07/22,11:12:46,您好
Account,Lyken,2024/07/22,11:12:51,不需要重新預定喔
Account,Lyken,2024/07/22,11:12:57,我這裡幫您修改即可
User,依玟🎀,2024/07/22,14:56:45,好 謝謝
User,依玟🎀,2024/09/27,21:13:51,您好
User,依玟🎀,2024/09/27,21:13:57,照片已傳送
Account,Lyken,2024/09/27,21:19:09,有查詢到了喔
User,依玟🎀,2024/09/27,21:19:19,謝謝
User,依玟🎀,2024/09/27,21:19:35,請問這個搭乘
Account,Lyken,2024/09/27,21:20:44,高鐵左營有客運直接下海生館站
User,依玟🎀,2024/09/27,21:21:05,最晚的班次是什麼時間呢
Account,Lyken,2024/09/27,21:21:24,應該是晚上7點
Account,Lyken,2024/09/27,21:21:30,墾丁快線
User,依玟🎀,2024/09/27,21:21:31,好 謝謝
Account,Lyken,2024/09/27,21:21:39,您可以查詢確認一下
User,依玟🎀,2024/10/25,18:39:05,請問房間裡有熱水壺嗎
Account,大美,2024/10/25,18:42:56,"備有熱水壺
另外一樓餐廳進去左手邊也有自助飲水機可使用"
User,依玟🎀,2024/10/25,18:43:08,好的
User,依玟🎀,2024/10/25,18:43:24,請問附近有超市嗎
Account,大美,2024/10/25,18:45:05,鄰近有古早味雜貨店走路可到，若是7-11便利商店需要自駕5分鐘
User,依玟🎀,2024/10/25,18:45:29,好的
Account,大美,2024/10/25,18:45:53,恆春鎮上有三家全聯，自駕約15分鐘，那邊物資採買比較齊全
User,依玟🎀,2024/10/25,18:46:17,好的 謝謝
Account,大美,2024/10/25,18:46:56,"不會☺️
倒是要麻煩您自駕前往"
User,依玟🎀,2024/10/27,19:49:42,請問check in 到幾點呢
User,依玟🎀,2024/10/27,19:49:58,因為我們最快預計9點半才會到高雄
User,依玟🎀,2024/10/28,00:16:14,貼圖已傳送
Account,Lyken,2024/10/28,00:28:34,明天6:30安排好了
Account,Lyken,2024/10/28,00:28:49,250元到車城國中
User,依玟🎀,2024/10/28,00:28:52,好的
User,依玟🎀,2024/10/28,00:28:54,謝謝
Account,Lyken,2024/10/28,00:29:01,他們也有在租摩托車
Account,Lyken,2024/10/28,00:29:08,可以再詢問她
User,依玟🎀,2024/10/28,00:29:40,好的謝謝
User,依玟🎀,2024/10/28,00:37:19,不好意思剛剛沒有記住 早餐是在哪邊吃呢
Account,Lyken,2024/10/28,00:37:40,一樓
User,依玟🎀,2024/10/28,00:37:55,好的心血
User,依玟🎀,2024/10/28,00:37:56,謝謝
Account,Lyken,2024/10/28,00:38:09,剛剛右手邊看過去
User,依玟🎀,2024/10/28,00:45:02,好
User,依玟🎀,2024/10/28,00:45:53,請問有餐具可以借嗎
Account,Lyken,2024/10/28,00:46:15,只有免洗筷可以提供喔
User,依玟🎀,2024/10/28,00:46:28,好的
Account,Lyken,2024/10/28,00:46:42,再麻煩到櫃檯拿喔
User,依玟🎀,2024/10/29,09:27:24,您好 我們決定今天要多住一天
User,依玟🎀,2024/10/29,12:14:30,剛有跟櫃檯的人員說要續住一天
User,依玟🎀,2024/10/29,12:14:50,要再麻煩幫我們清理房間的垃圾和補衛生紙
User,依玟🎀,2024/10/29,12:14:55,謝謝
Account,Lyken,2024/10/29,12:14:57,哈有收到通知喔
Account,Lyken,2024/10/29,12:15:06,好的
Account,Lyken,2024/10/29,12:15:21,有要外出嗎？
User,依玟🎀,2024/10/29,12:15:25,請問這邊如果要搭車回高雄 在路口等車就可以了嗎
User,依玟🎀,2024/10/29,12:15:30,已經在外面了唷
Account,Lyken,2024/10/29,12:15:53,大約幾點回來？
User,依玟🎀,2024/10/29,12:16:00,應該是下午了
Account,Lyken,2024/10/29,12:16:08,你們有租摩托車嗎？
User,依玟🎀,2024/10/29,12:16:12,有
Account,Lyken,2024/10/29,12:16:46,坐車可以在還車的位置附近座
Account,Lyken,2024/10/29,12:16:52,墾丁快線
User,依玟🎀,2024/10/29,12:16:59,但還有行李QQ
User,依玟🎀,2024/10/29,12:17:16,好的 
Account,Lyken,2024/10/29,12:17:50,旅棧坐車的位置會走比較遠一點點
Account,Lyken,2024/10/29,12:18:02,在台灣牛的門口
User,依玟🎀,2024/10/29,12:18:43,好 那我們再去換車的地方搭車
Account,Lyken,2024/10/29,12:18:51,好的
