帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/14,19:56:48,"薇M😎感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/10/14,19:56:48,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/10/14,19:56:48,貼圖已傳送
User,薇M😎-小墾丁住戶,2024/10/17,00:55:43,請問退房時間是？
Account,Lyken,2024/10/17,00:56:39,中午11點噢
Account,Lyken,2024/10/17,00:57:09,請問您是207？
User,薇M😎-小墾丁住戶,2024/10/17,00:57:52,是的
User,薇M😎-小墾丁住戶,2024/10/24,01:40:32,你好現在還可以住宿嗎
Account,Lyken,2024/10/24,21:16:38,不好意思
User,薇M😎-小墾丁住戶,2024/10/24,21:18:01,？
User,薇M😎-小墾丁住戶,2024/10/24,21:46:03,你好，今天還有房間可以住宿嗎
Account,Lyken,2024/10/24,21:46:30,可以喔
User,薇M😎-小墾丁住戶,2024/10/24,21:47:20,未接來電
Account,自動回應訊息,2024/10/24,21:47:21,"很抱歉，我們目前無法接聽來電。
請改傳訊息直接告知我們需要協助您的地方。
※官方帳號無法直接發話給您，敬請見諒。"
User,薇M😎-小墾丁住戶,2024/10/24,21:49:22,那我訂兩天，今天還有明天
User,薇M😎-小墾丁住戶,2024/10/24,21:49:36,我大概9點多～10點到
User,薇M😎-小墾丁住戶,2024/10/24,21:49:53,大概等等9點多～10點多到
Account,Lyken,2024/10/24,21:50:02,好
Account,Lyken,2024/10/24,21:50:08,我確認一下
Account,Lyken,2024/10/24,21:50:15,因為這幾天人比較多
Account,Lyken,2024/10/24,21:50:22,明後天
User,薇M😎-小墾丁住戶,2024/10/24,21:50:50,我是今天就入住
Account,Lyken,2024/10/24,21:51:19,了解
Account,Lyken,2024/10/24,21:51:26,我確認一下明天
User,薇M😎-小墾丁住戶,2024/10/24,21:51:34,明天也是住
Account,Lyken,2024/10/24,21:51:43,是的
User,薇M😎-小墾丁住戶,2024/10/24,21:51:50,26退房
Account,Lyken,2024/10/24,21:52:05,我確認明天你們才可以不用換房
User,薇M😎-小墾丁住戶,2024/10/24,21:52:20,好
Account,Lyken,2024/10/24,21:57:58,可以喔
Account,Lyken,2024/10/24,21:58:00,直接過來就可以
Account,Lyken,2024/10/24,21:58:09,需要早餐嗎？
User,薇M😎-小墾丁住戶,2024/10/24,21:58:17,不需要
User,薇M😎-小墾丁住戶,2024/10/24,21:58:20,我自己要住的
Account,Lyken,2024/10/24,21:58:23,ＯＫ
Account,Lyken,2024/10/24,21:58:33,一樣１３００＊２
User,薇M😎-小墾丁住戶,2024/10/24,21:58:55,不是1200嗎
Account,Lyken,2024/10/24,21:59:01,我確認一下
Account,Lyken,2024/10/24,22:00:25,是的
Account,Lyken,2024/10/24,22:00:29,１２００一晚
Account,Lyken,2024/10/24,22:00:30,才是
User,薇M😎-小墾丁住戶,2024/10/24,22:00:37,好的
Account,Lyken,2024/10/24,22:01:09,現金付款是嗎？
User,薇M😎-小墾丁住戶,2024/10/24,22:01:31,對現金
Account,Lyken,2024/10/24,22:01:38,好的
