帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/24,14:58:19,"盈禎感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/10/24,14:58:19,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/10/24,14:58:19,貼圖已傳送
User,盈禎,2024/10/24,14:58:47,"你好，我是有預定10/26住宿的陳小姐
訂單編號:RMPGP240286256"
User,盈禎,2024/10/24,14:59:31,請問入住時間更改為10/27(日)，然後10/28(一)退房可以嗎? 謝謝
Account,Lyken,2024/10/24,15:06:20,稍後幫您確認喔
User,盈禎,2024/10/24,15:09:23,謝謝
User,盈禎,2024/10/24,17:11:04,你好，請問有確認到嗎? 
Account,Lyken,2024/10/24,20:22:31,已幫您修改完入住日期，預定以下圖訂房確認書為主喔
Account,Lyken,2024/10/24,20:23:11,照片已傳送
User,盈禎,2024/10/24,20:33:48,"好的！謝謝～～
請問入住時是支付$2680-訂金$864=$1816嗎？謝謝"
Account,Lyken,2024/10/24,21:15:26,是的
Account,Lyken,2024/10/24,21:15:37,週六和週日的房價不同
Account,Lyken,2024/10/24,21:15:44,訂金為更動
Account,Lyken,2024/10/24,21:15:55,尾款不一樣
User,盈禎,2024/10/24,21:59:27,好的！謝謝～～
