帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/09,08:39:18,"Black感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/10/09,08:39:18,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/10/09,08:39:18,貼圖已傳送
User,Black,2024/10/09,08:40:02,"您好
我10/11-13，2大
2天"
User,Black,2024/10/09,08:40:15,請問價格如何
Account,龜地灣,2024/10/09,21:02:10,"Black您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,Black,2024/10/11,15:52:31,照片已傳送
User,Black,2024/10/11,15:53:05,Ok？
Account,Lyken,2024/10/11,15:53:10,你好
User,Black,2024/10/11,15:54:06,照片已傳送
Account,Lyken,2024/10/11,15:54:30,是要詢問訂單嗎？
User,Black,2024/10/11,15:54:41,照片已傳送
User,Black,2024/10/11,15:55:04,有收到Agoda訂單了嗎
Account,Lyken,2024/10/11,15:55:14,稍後幫您確認
User,Black,2024/10/11,15:55:18,我訂10/11-13
User,Black,2024/10/11,16:03:06,？
User,Black,2024/10/11,16:03:12,有嗎
Account,Lyken,2024/10/11,16:03:56,有收到您的訂單了
Account,Lyken,2024/10/11,16:04:08,請問需要兩張小床還是一張大床?
User,Black,2024/10/11,16:09:06,ㄧ大床
Account,Lyken,2024/10/11,16:09:16,好的
User,Black,2024/10/11,16:09:28,禁菸安靜房
User,Black,2024/10/11,17:21:50,冷氣應該會先開吧？
User,Black,2024/10/11,18:07:06,我們會比較晚到飯店
User,Black,2024/10/11,18:07:24,應該有人會接洽吧
Account,Lyken,2024/10/11,18:07:59,櫃檯辦理入住時間最晚是11點
Account,Lyken,2024/10/11,18:08:27,Agoda有明確記載，再麻煩幫我們注意時間一下喔！謝謝
User,Black,2024/10/11,18:08:33,好
