帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/09,20:48:39,"京韋物管許小姐感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/10/09,20:48:39,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/10/09,20:48:39,貼圖已傳送
User,京韋物管許小姐,2024/10/09,20:48:45,貼圖已傳送
Account,龜地灣,2024/10/09,21:02:46,"京韋物管許小姐您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,京韋物管許小姐,2024/10/10,12:34:38,請問這麼支付訂金
Account,Lyken,2024/10/10,12:35:48,官網預定就可以線上刷卡或是atm轉帳了喔
User,京韋物管許小姐,2024/10/10,12:36:24,有帳號嗎？
User,京韋物管許小姐,2024/10/10,12:36:27,照片已傳送
User,京韋物管許小姐,2024/10/10,12:36:37,我要一大一小床
Account,Lyken,2024/10/10,12:37:24,"'
稍後幫你看一下有沒有收到訂單"
User,京韋物管許小姐,2024/10/10,13:54:21,貼圖已傳送
Account,Lyken,2024/10/10,13:55:10,應該是沒有預定成功喔
User,京韋物管許小姐,2024/10/10,13:55:55,再訂購一次嗎？
Account,Lyken,2024/10/10,13:56:06,可以噢
Account,Lyken,2024/10/10,13:56:18,也可以直接到現場
Account,Lyken,2024/10/10,13:56:45,有預計幾點會抵達嗎？
User,京韋物管許小姐,2024/10/10,13:56:48,我是在路上了，會不會晚上到沒房間
User,京韋物管許小姐,2024/10/10,13:57:07,大約晚上8-9點
Account,Lyken,2024/10/10,13:57:22,那可能需要重新預定一次
User,京韋物管許小姐,2024/10/10,13:57:32,好
Account,Lyken,2024/10/10,13:57:41,因為沒收到訂單
Account,Lyken,2024/10/10,13:58:04,訂金選擇信用卡
Account,Lyken,2024/10/10,14:01:19,當天入住應該是沒有atm的選單
User,京韋物管許小姐,2024/10/10,14:02:44,照片已傳送
User,京韋物管許小姐,2024/10/10,14:04:28,沒有辦法選訂金部分欸
Account,Lyken,2024/10/10,14:26:46,我這裡確認一下喔
Account,Lyken,2024/10/10,14:30:27,不好意思系統怪怪的
Account,Lyken,2024/10/10,14:30:32,我這裡已經排除
Account,Lyken,2024/10/10,14:30:40,再麻煩幫我們重新預定一次喔
Account,Lyken,2024/10/10,14:30:42,謝謝
