帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/09/26,12:09:23,"Alice感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/09/26,12:09:23,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/09/26,12:09:23,貼圖已傳送
User,Alice,2024/09/26,12:09:42,請問可以攜帶寵物嗎？
Account,龜地灣櫃檯,2024/09/26,12:32:12,照片已傳送
User,Alice,2024/09/26,12:47:34,照片已傳送
User,Alice,2024/09/26,12:48:29,那想詢問一下10/16，3人入住的適合房型及費用～
Account,Lyken,2024/09/26,14:06:42,直接選擇三人房就可以了喔
User,Alice,2024/09/26,14:19:57,好的，瞭解，需要的話會在上網訂房
Account,Lyken,2024/09/26,16:19:33,好的
