帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/09/16,14:37:40,"榆琳感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/09/16,14:37:40,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/09/16,14:37:40,貼圖已傳送
User,榆琳,2024/09/16,14:41:08,您好:
Account,Lyken,2024/09/16,14:43:18,你好
Account,Lyken,2024/09/16,14:43:45,有什麼可以協助您的？
User,榆琳,2024/09/16,14:46:25,"您好:

我是稍早有與您知會若超過23:00入住是否還有人可協助Check in?

我們會盡量趕在23:00前到貴店
但倘若超過，請問是直接與這個賴聯繫即可嗎?

謝謝幫忙"
Account,Lyken,2024/09/16,14:47:11,請於23點前辦理完成入住手續
User,榆琳,2024/09/16,14:48:16,所以意思是如果超過23:00入住就無人能辦理  
User,榆琳,2024/09/16,14:48:22,是嗎?
Account,Lyken,2024/09/16,14:48:24,是的
Account,Lyken,2024/09/16,14:48:45,還是您有確切可以抵達的時間？
User,榆琳,2024/09/16,14:56:59,我們會盡量趕在23:00前到貴店。  謝謝
Account,Lyken,2024/09/16,14:58:26,好
