帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,方育科-龍安全,2024/08/27,17:32:28,已取消通話
Account,自動回應訊息,2024/08/27,17:32:28,"很抱歉，我們目前無法接聽來電。
請改傳訊息直接告知我們需要協助您的地方。
※官方帳號無法直接發話給您，敬請見諒。"
User,方育科-龍安全,2024/09/03,21:24:38,經理 我是龍安全 明早8：30-9：00進來消檢
Account,Lyken,2024/09/03,22:03:13,改後天可以嗎？
Account,Lyken,2024/09/03,22:03:21,我怕我趕不回去
User,方育科-龍安全,2024/09/03,22:17:47,有人在就可以，不用麻煩您
User,方育科-龍安全,2024/09/03,22:19:10,不好意思那麽晚還打擾您
Account,Lyken,2024/09/03,22:22:41,好
Account,Lyken,2024/09/03,22:22:48,那到了再告知
User,方育科-龍安全,2024/09/03,22:23:02,貼圖已傳送
Account,Lyken,2024/09/04,09:37:55,我們可以改下午嗎
Account,Lyken,2024/09/04,09:38:05,今天早上都沒有人
Account,Lyken,2024/09/04,09:38:14,他們要去支援
User,方育科-龍安全,2024/09/04,09:43:37,好
User,方育科-龍安全,2024/09/04,10:58:18,那下午一點半Ok
Account,龜地灣,2024/09/04,10:59:05,2點過後可以嗎？
User,方育科-龍安全,2024/09/04,11:00:53,ok
User,方育科-龍安全,2024/09/04,15:04:37,經理，我們的人已經到了，麻煩您
Account,大美,2024/09/04,15:05:12,好 請稍等
Account,大美,2024/09/04,15:05:15,謝謝
User,方育科-龍安全,2024/09/04,15:06:07,感恩
User,方育科-龍安全,2024/09/09,15:08:48,照片已傳送
Account,Lyken,2024/09/09,15:20:45,請問第一行b1的感應器故障是什麼，字看不清楚
User,方育科-龍安全,2024/09/09,15:22:07,消防機房
Account,Lyken,2024/09/09,15:23:00,幫浦的感應器嗎?
Account,Lyken,2024/09/09,15:24:17,除了消防照明燈和逃生指示燈不用，其他可以先幫我們報價，謝謝
User,方育科-龍安全,2024/09/10,11:12:32,照片已傳送
User,方育科-龍安全,2024/09/10,16:09:04,如需改善請您告知
Account,Lyken,2024/09/11,17:57:51,沒有問題
Account,Lyken,2024/09/11,17:58:12,你不是有龜地灣內勤的LINE
