帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/28,17:57:40,"🏠Hui🏠感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/28,17:57:40,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/28,17:57:40,貼圖已傳送
User,🏠Hui🏠,2024/08/28,17:57:47,貼圖已傳送
User,🏠Hui🏠,2024/08/28,17:58:57,"張淑惠

0939477586

桃園市桃園區大興西路二段139巷89號6樓之2"
Account,大美,2024/08/28,17:59:05,好的 沒問題
User,🏠Hui🏠,2024/08/28,17:59:08,謝謝
Account,大美,2024/08/28,17:59:12,謝謝您
Account,大美,2024/08/28,17:59:30,寄送出去時，會給您寄送單號
User,🏠Hui🏠,2024/09/02,22:10:25,"請問我的身分證
還沒有幫我寄出嗎？"
Account,Lyken,2024/09/02,22:13:04,不好意思，我們行政出差，星期三、四才有辦法幫您寄出
User,🏠Hui🏠,2024/09/02,22:14:30,"好的
因為是重要證件
麻煩幫我確認東西是否還安好😅"
Account,Lyken,2024/09/04,00:55:33,有收納好的，請放心
User,🏠Hui🏠,2024/09/05,09:57:09,請問身分證什麼時候寄出
Account,Lyken,2024/09/05,16:14:28,明天幫您寄出喔
User,🏠Hui🏠,2024/09/06,16:22:00,請問寄出了嗎
Account,Lyken,2024/09/06,17:51:49,寄出了喔
Account,Lyken,2024/09/06,17:52:12,照片已傳送
User,🏠Hui🏠,2024/09/06,17:59:21,"郵局掛號收據
能拍照給我嗎？"
User,🏠Hui🏠,2024/09/06,17:59:43,看到了
User,🏠Hui🏠,2024/09/06,18:00:28,謝謝
Account,Lyken,2024/09/06,18:23:01,貼圖已傳送
