帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/26,16:22:15,"小曼感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/26,16:22:15,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/26,16:22:15,貼圖已傳送
User,小曼,2024/04/26,16:23:52,照片已傳送
Account,AI自動回應訊息,2024/04/26,16:23:53,"小曼Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,小曼,2024/04/26,16:24:10,請問我們明天要入住我？這個訂單有成立嗎？
Account,AI自動回應訊息,2024/04/26,16:24:10,"小曼Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,小曼,2024/04/26,16:25:04,訂單編號1213036484
Account,AI自動回應訊息,2024/04/26,16:25:05,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/27,01:11:59,有收到您的預定了喔
Account,Lyken,2024/04/27,15:45:35,您這裡會攜帶兩隻寵物，再麻煩參閱以下
Account,Lyken,2024/04/27,15:45:43,照片已傳送
User,小曼,2024/04/27,20:55:29,照片已傳送
User,小曼,2024/04/27,20:55:30,照片已傳送
User,小曼,2024/04/27,20:55:30,照片已傳送
Account,AI自動回應訊息,2024/04/27,20:55:30,"小曼Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,小曼,2024/04/27,20:55:41,你好，我們的棉被為什麼裡面都是黃色的污漬
Account,AI自動回應訊息,2024/04/27,20:55:41,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/27,20:59:49,稍後幫您去查看一下噢
User,小曼,2024/04/27,21:00:28,好
Account,Lyken,2024/04/27,21:00:54,是211房嗎？
User,小曼,2024/04/27,21:00:59,是
Account,Lyken,2024/04/27,21:01:20,好
User,小曼,2024/09/05,14:06:48,照片已傳送
User,小曼,2024/09/05,14:06:58,你好，我預定的這個你們有收到嗎？
User,小曼,2024/09/05,14:07:20,請問我有帶兩隻小狗要另外再加錢嗎？
User,小曼,2024/09/05,14:11:04,我要兩張🛏️的房型
Account,Lyken,2024/09/05,16:13:56,已幫您安排好床型<
User,小曼,2024/09/05,16:14:13,感謝您
Account,Lyken,2024/09/05,16:14:44,寵物會加收800清潔費
Account,Lyken,2024/09/05,16:14:54,照片已傳送
User,小曼,2024/09/05,16:15:04,好
Account,Lyken,2024/09/05,16:15:07,麻煩參閱住房須知
Account,Lyken,2024/09/05,16:15:13,現場付款即可
User,小曼,2024/09/05,16:15:17,貼圖已傳送
