帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/27,10:39:25,"倫婷感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/27,10:39:25,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/27,10:39:25,貼圖已傳送
User,倫婷,2024/08/27,10:39:38,您好 請問有無障礙房型嗎
Account,Lyken,2024/08/27,10:42:42,有喔
User,倫婷,2024/08/27,10:43:37,"四人房型 11/23-24

有房型的網站/照片嗎"
User,倫婷,2024/08/27,10:44:56,"價格是？
有專案活動嗎？或是我們有醫護、教職、公務員/國旅卡"
Account,龜地灣,2024/08/27,11:44:32,我們有國旅特約
User,倫婷,2024/08/27,11:50:42,"特約是指...
這天價格是多少
無障礙四人房型是那一種的"
Account,Lyken,2024/08/27,11:52:08,"倫婷您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,倫婷,2024/08/27,11:52:20,無障礙是那一種房型
User,倫婷,2024/08/27,11:52:35,四人的
User,倫婷,2024/08/27,11:54:07,照片已傳送
User,倫婷,2024/08/27,11:54:38,"網站只能看到這個
沒有找到 房型、價格等資訊"
Account,Lyken,2024/08/27,11:55:41,https://tlathena.ec-hotel.net/webhotel-v4/0818/rmProducts/AR?_rand=1724727233082
User,倫婷,2024/08/27,11:56:07,阿 抱歉 我找到了
User,倫婷,2024/08/27,11:57:07,"確認一下 所以無障礙 四人房
可以有 都是 單人床，四張 對嗎"
User,倫婷,2024/08/27,11:59:16,另外，國旅特約 有 優惠嗎？
Account,大美,2024/08/27,12:08:18,官網若有優惠價，就無再特惠
Account,大美,2024/08/27,12:08:29,是四張單人床
User,倫婷,2024/08/27,12:23:32,好的 謝謝
User,倫婷,2024/08/27,12:26:53,"請問房價有包含 早餐嗎？
是自助式早餐？"
User,倫婷,2024/08/29,14:42:03,"請問房價有包含 早餐嗎？
是自助式早餐？"
Account,龜地灣櫃檯,2024/08/29,14:43:15,官網預訂都有含早餐喔，網站上都有說明
User,倫婷,2024/08/29,14:48:21,"有看到專案含早餐。
早晚的形式是...？

"
User,倫婷,2024/08/29,14:49:48,入住加一人價格？
Account,Lyken,2024/08/29,15:33:32,我們沒有加床服務噢
Account,Lyken,2024/08/29,15:33:45,不懂您的意思
User,倫婷,2024/08/29,15:34:01,早餐是自助式的嗎
User,倫婷,2024/08/29,15:34:19,好的
Account,大美,2024/08/29,15:34:28,套餐
User,倫婷,2024/08/29,15:34:49,好  謝謝
Account,大美,2024/08/29,15:35:04,不會
User,倫婷,2024/08/30,20:57:05,能撥打電話是外籍勞工接電話
User,倫婷,2024/08/30,20:57:08,剛剛
User,倫婷,2024/08/30,20:58:50,沒有客服人員？
User,倫婷,2024/08/30,20:59:40,請回電好嗎 訂房事宜
User,倫婷,2024/08/30,20:59:53,0972329832 王先生
Account,Lyken,2024/08/30,21:00:36,有事情直接line告知，謝謝
User,倫婷,2024/08/30,21:02:00,Line 不清楚
User,倫婷,2024/08/30,21:02:24,我是轉達，不是我要訂的
User,倫婷,2024/08/30,21:02:43,請幫忙直接請客服回電
User,倫婷,2024/08/30,21:02:52,回覆到此
