帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/26,15:57:45,"Wing感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/26,15:57:45,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/26,15:57:45,貼圖已傳送
User,Wing,2024/08/26,15:58:05,你好 我已經在agoda訂房了
User,Wing,2024/08/26,15:58:15,現在準備在高雄過來
Account,Lyken,2024/08/26,15:58:35,今天入住嗎？
User,Wing,2024/08/26,15:58:40,請問9189墾丁線的話 我應該在那個站下？
User,Wing,2024/08/26,15:58:45,是的
Account,Lyken,2024/08/26,15:59:03,詢問保力站或是海生館
Account,Lyken,2024/08/26,15:59:18,你們有需要租機車嗎？
User,Wing,2024/08/26,16:00:28,機車的話暫時不需要
Account,Lyken,2024/08/26,16:00:39,Ok
User,Wing,2024/08/26,16:00:41,海生館那個站走過來要多久？
Account,Lyken,2024/08/26,16:01:16,10～15分鐘左右
User,Wing,2024/08/26,16:11:51,附近有電動的自行車可以借嗎
User,Wing,2024/08/26,16:12:16,照片已傳送
User,Wing,2024/08/26,16:12:19,像這種
