帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/16,13:32:40,"娟感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/16,13:32:40,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/16,13:32:40,貼圖已傳送
User,娟,2024/08/16,13:33:08,官網 付訂金 出現失敗
User,娟,2024/08/16,13:33:23,訂單編號RMPGP240228175
User,娟,2024/08/16,13:33:31,所以現在是要怎麼辦？
User,娟,2024/08/16,14:40:06,照片已傳送
User,娟,2024/08/16,14:40:18,原訂單好像失敗了
User,娟,2024/08/16,14:40:31,有另外產生新訂單
User,娟,2024/08/16,14:47:40,需四人床房型
Account,大美,2024/08/16,14:48:45,好的已幫您備註
