帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/14,20:17:33,"努力感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/14,20:17:33,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/14,20:17:33,貼圖已傳送
User,努力,2024/08/14,20:20:06,我用-吳其偉名字在agoda訂房一間，未收到確認mail通知，請幫我確認一下
User,努力,2024/08/14,20:26:39,照片已傳送
User,努力,2024/08/14,20:28:42,照片已傳送
User,努力,2024/08/14,21:14:36,因為遲遲未收到agoda訂房成功的編號，但又已通知扣款成功，改用我老婆的訂房，agoda 顯示扣款未成功，但又有訂房編號，請確認是這兩筆，我們只需訂一房，謝謝
User,努力,2024/08/14,21:15:05,照片已傳送
User,努力,2024/08/14,21:35:25,這份訂房已取消訂單，請協助用吳其偉名字的訂房編號及確認訂房是否成功，畢竟已扣款
User,努力,2024/08/15,11:49:48,請問吳其偉先生訂房有成功嗎
Account,Lyken,2024/08/15,12:30:49,尾數8440定單已經取消
Account,Lyken,2024/08/15,12:31:27,其餘帳戶問題請洽詢agoda
Account,Lyken,2024/08/15,12:32:11,帳款都是由agoda收取處理的喔
User,努力,2024/08/15,13:00:06,這個扣款已成功了 您那有訊息嗎
User,努力,2024/08/15,20:10:02,請問您是龜地灣旅棧的人員嗎？
User,努力,2024/08/15,20:11:09,未接來電
Account,Lyken,2024/08/15,20:11:57,有沒有扣款成功我們這裡不會知道
User,努力,2024/08/15,20:13:34,我們確認了已刷卡成功，我們就是要跟貴旅棧確認是否有訂到房，以吳其偉的名字
Account,Lyken,2024/08/15,20:15:23,尾數8440定單已經取消
Account,Lyken,2024/08/15,20:15:36,有告知您了
User,努力,2024/08/15,20:16:48,照片已傳送
User,努力,2024/08/15,20:17:10,我們要確認這筆交易
User,努力,2024/08/15,20:17:23,這個我知道
Account,Lyken,2024/08/15,20:17:25,款項不是在我們ㄓㄜˋㄌㄧˇ
Account,Lyken,2024/08/15,20:17:28,這裡
Account,Lyken,2024/08/15,20:17:34,請洽agoda
User,努力,2024/08/15,20:19:50,您可以接電話嗎 給我您號碼 我打給您
Account,Lyken,2024/08/15,20:20:32,您聯絡agoda確認了嗎？
User,努力,2024/08/15,20:38:48,請問 現在跟您訂24入住一晚 兩人一大床有房嗎 價金多少
Account,Lyken,2024/08/15,20:45:04,我們自己的官網
Account,Lyken,2024/08/15,20:45:11,"努力您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2024/08/15,20:45:42,您要不要先跟agoda確認好款項
User,努力,2024/08/15,20:48:30,好的
