帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/07,13:34:51,"京鈺🌟Erica感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/08/07,13:34:51,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/08/07,13:34:51,貼圖已傳送
User,京鈺🌟Erica,2024/08/07,13:37:04,"你好👋想確認

Agoda訂房編號：
1324362444

此訂單是否有成功訂房？"
User,京鈺🌟Erica,2024/08/07,16:30:34,"不好意思打擾了 
再麻煩有空回覆訂房資訊"
User,京鈺🌟Erica,2024/08/07,16:30:37,謝謝
Account,Lyken,2024/08/08,15:13:48,您好，有收到您的預訂了喔
User,京鈺🌟Erica,2024/08/08,15:14:14,我們主管好像有致電agoda要改期還是改時間
Account,Lyken,2024/08/08,15:14:49,更改訂單請洽agoda
User,京鈺🌟Erica,2024/08/08,15:15:04,好的  謝謝
