帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/31,10:49:20,"癸Mira🍑感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/07/31,10:49:20,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/07/31,10:49:20,貼圖已傳送
User,小癸 Mira,2024/08/02,09:40:14,請問官網訂房有含早餐
Account,Lyken,2024/08/02,09:40:55,有噢
User,小癸 Mira,2024/08/02,09:41:29,好的
Account,Lyken,2024/08/02,09:41:33,官網預定預定都有早餐店的
User,小癸 Mira,2024/08/02,12:34:21,"您好
請問我能提早現在入住嗎？
我人在隔壁的潛水中心受訓但沒地方可以休息🫣
如果不方便也沒關係"
Account,大美,2024/08/02,12:35:32,你好 可否提供訂單編號
User,小癸 Mira,2024/08/02,12:38:53,RMPGP240209886
User,小癸 Mira,2024/08/02,12:39:22,麻煩了
Account,大美,2024/08/02,12:39:26,稍等一下 我們幫你安排
User,小癸 Mira,2024/08/02,12:50:48,麻煩你了
User,小癸 Mira,2024/08/02,13:25:32,不好意思我們要出門去泳池訓練，這樣我們一樣3點後再入住就好
User,小癸 Mira,2024/08/02,13:25:44,抱歉
Account,Lyken,2024/08/02,13:26:04,好的
User,小癸 Mira,2024/08/02,18:08:23,您好請問隨時過去入住都有人嗎
Account,Lyken,2024/08/02,18:35:35,您可以先辦理入住噢
User,小癸 Mira,2024/08/02,18:36:40,我6點前會過去
User,小癸 Mira,2024/08/02,18:36:50,謝謝
User,小癸 Mira,2024/08/02,19:42:42,照片已傳送
User,小癸 Mira,2024/08/02,19:43:43,您好當初是因為看到有咖啡機才訂經典雙人房的，但剛剛房間裡面似乎沒有這個！！
User,小癸 Mira,2024/08/03,09:35:07,照片已傳送
User,小癸 Mira,2024/08/03,09:35:15,已退房
User,小癸 Mira,2024/08/03,22:19:34,雖然不知道你們為什麼沒回覆我，但希望你們能更改房型說明因為並非屬實，不希望有跟我一樣對你們房間產生誤會的人。
